"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"9036",0,0,0.740812024396454,0.0359921861261783,0,0,0.367577467361647,0.164942338330361,0.043286460599132,0.00644811968695856,0.100331678552285,0.516493095962786,0.0897907647527027,0
"9037",0,0,0.78487877470035,0.024936886641227,0,0,0.4359405685998,0.246758187163415,0.0316040960025075,0.0086087496736275,0.146342912284257,0.552828884602158,0.132952398324169,0
"9038",0,0,0.897006251890823,0.0212459325771032,0.0390023294109533,0,0.520137408493461,0.319171806336805,0.00760221672831268,0.00462843502205194,0.150498886743699,0.58848258860636,0.0977841250278617,0
"9039",0,0,1.06611191907726,0.00357346763245367,0.0972861275333738,0.00863862492830945,0.524368703043049,0.267819300986505,0.0336218941883189,3.91293262212484e-06,0.0881099059993253,0.891857356286916,0.226712068296585,0
"9040",0.00236066671109543,0.00980294261890218,1.25954957172234,0,0.24166771080188,0.0836021179589882,0.573589580676261,0.305173474290011,0.00581536201806978,0.0607695587409684,0.100615065083445,1.09958887002988,0.406114868081968,0
"9041",0.00237123275681916,0.0446094230389476,1.45662891366647,0,0.354356935647791,0.175812332193771,0.671081299604745,0.378615992637179,0.000769858392658725,0.0789984678556534,0.134779554086844,1.15286331594265,0.480995564375447,0
"9042",0.028102014225561,0.0527635158709877,1.80876333832896,0,0.542902364582626,0.230575885283251,0.707520373894655,0.358029208657688,0.0242899221998557,0.0812941771706645,0.121586489749466,1.46265829711262,0.789905977078746,0
"9043",0.0946190568503182,0.0875421217317277,2.31407724223413,0,0.817259691545563,0.404294286586075,0.760458039118694,0.356920871670165,0.147176527316923,0.163380150541448,0.149950472583236,1.71322276901831,1.08464581151455,0
"9044",0.184853758395658,0.135908488642828,2.86257756236416,0.00217050658109182,0.955013137611452,0.469563545679825,0.985073331897508,0.514910114067055,0.0897185516273044,0.270121554693675,0.267562686802659,1.80709407638081,1.2465223214951,0.0346362905859293
"9045",0.274137099876158,0.219210254478713,2.87925417222292,0.0267026898284579,1.09898068146933,0.529507751788162,1.16650128202574,0.699801395713257,0.0365340496595728,0.277820694440435,0.372714200090015,1.78268928911061,1.3871221779761,0.153170936236864
"9046",0.213078710131554,0.213825471621046,2.37380581899348,0.0523647518156471,1.03397333184394,0.40883093235121,1.05065271384233,0.806802245598429,0.0332902846032267,0.210074291307951,0.378252533485115,1.55060292553987,1.35567783333298,0.00512700960816017
"9047",0.287800257272155,0.240592559300788,1.94045268067992,0.145918111160962,1.07198054857954,0.442596728469173,1.02004231216236,0.888700564132803,0.0547207472964822,0.190839040296512,0.417810821278327,1.4609259746023,1.30612857594139,0
"9048",0.379711744884842,0.301581492946582,1.62999350607397,0.126805478947693,1.2490136071825,0.506220075288605,1.31367089545587,0.92365764793117,0.0494501171242537,0.177858334943198,0.525957094593019,1.54256245052213,1.23787237322715,0
"9049",0.467283355983371,0.351546023524264,1.45182159122346,0.168357269744154,1.36441286219823,0.624218328675448,1.45945059642014,1.00883933644802,0.0450331392525654,0.205371873893576,0.595467890863862,1.63510282701078,1.29439141307869,0
"9050",0.500232330453077,0.407295787072311,1.38045433948197,0.355483459133908,1.53873949761657,0.706176802348035,1.32947318239063,0.947377671759119,0.0243494164523652,0.252560526403265,0.56450588481431,1.73950194570505,1.34689017101063,0
"9051",0.571329555362281,0.43221120488182,1.27735479857262,0.341902330578367,1.63182727600854,0.7159846416803,1.30141877021514,0.929724398528168,0.0112043881220771,0.327084112415028,0.562520786174382,1.70100252496907,1.36485622371474,0
"9052",0.693994724596651,0.530038084750565,1.15752877985361,0.587292843181624,1.62030715835826,0.918186317285986,1.76346300036963,1.25374961894086,0.00695703679327134,0.369152762828953,0.963075353521075,1.73002750050857,1.46631668669094,0
"9053",0.708976450202508,0.572513169335615,0.915070979420924,0.846523248695239,1.67193859729624,0.977571668240026,1.8619957732067,1.58825000679352,0.0534316786216225,0.390766860787306,1.40671583318548,1.75509287709394,1.56696734885658,0
"9054",0.687974355307893,0.586427857717971,0.675519190407724,1.32493663066197,1.53977605467241,1.04185517199972,2.02537388972574,1.73367036862233,0.111444975207152,0.385344264062448,1.50886564447803,1.60135866141071,1.53012819323984,0
"9055",0.620883834203658,0.550477630929666,0.556145201284923,1.11225347272444,1.3427845172718,0.96711122247809,1.88969618600442,1.54184956160815,0.0981473070497842,0.358738882493061,1.5078330254962,1.5522249384929,1.35953767091739,0
"9056",0.559840308109607,0.468008644916266,0.575959019766232,0.985132911917796,1.30908168010269,0.89092179151555,1.67601899677992,1.32607049574881,0.0356658820279924,0.321005260588945,1.34531079508849,1.64841420080228,1.28442736533726,0
"9057",0.479329523990808,0.432925959087485,0.607253069132293,0.98519249261427,1.23240199967342,0.796312925224991,1.5868164575954,1.14072520356609,0.0326037801449102,0.247856841868736,1.32392890342131,1.55073267486435,1.16029289065289,0
"9058",0.393674072130198,0.402439985113258,0.800666017589272,1.08567722627665,1.13564419081306,0.710657235778688,1.48888232963438,1.08968328439582,0.0316540973384011,0.183075182602743,1.24776784766395,1.48617876521061,1.16084586121663,0
"9059",0.429864289212887,0.436605331805007,0.832762063121151,1.08840832924972,1.02964611910602,0.748443812129327,1.44458419789314,1.13986786693867,0.0634403422099525,0.181031004771089,1.40474141308249,1.40321318730826,1.10737925180806,0
"9060",0.371389072391821,0.385534114270586,1.06049098109092,1.14881460072607,0.975906094945796,0.686470803073691,1.18528698242487,1.11182681808418,0.0369712044117035,0.141823721649049,1.29357620048782,1.29865717135858,1.09016905525299,0
"9061",0.337915714189888,0.34968586684523,1.03956768057817,0.909139713752957,0.86747654231668,0.571168189080846,1.03848446146777,1.02130184830134,0.0436878761212472,0.155278671470345,1.25019729473284,1.16176758866803,0.974241054906008,0
"9062",0.266769807746977,0.287544882130648,0.994017877265772,0.897123336846698,0.770231697180071,0.447421389455575,0.801411071177455,0.896362335901843,0.022197367973287,0.167399766508643,1.1458717608933,0.913837150207748,0.87079371599183,0
"9063",0.201560707865296,0.240949318341007,0.935857596017634,0.760004021222428,0.675963281139018,0.337711009296051,0.580649430773582,0.680073713233323,0,0.304394216247151,1.07155683693847,0.682798055403114,0.708640382740016,0
"9064",0.138847819292798,0.165428162520875,0.692879099195193,0.548822196261701,0.49368224895436,0.179324332060837,0.446959029306293,0.528924500632964,0.0025284366248277,0.240597132506815,0.69115054589959,0.472209094708613,0.572513169335615,0
