"","id","species","dbh","cc","ba","SWA","SWD"
"88",46,"acsa",19.4,"I",295.59,144.512087647077,2.76533103129505
"89",71,"acsa",19,"C",283.53,138.412256211185,2.70349711058982
"90",49,"acsa",18.8,"C",277.59,135.41330626413,2.67272080054638
"91",762,"acsa",18.8,"C",277.59,135.41330626413,2.67272080054638
"92",NA,"acsa",18.1,"C",257.3,125.184120937521,2.56510786914721
"93",761,"acsa",18,"I",254.47,123.756688400911,2.54962214424162
"94",751,"acsa",17.6,"I",243.28,118.131526615457,2.48842096087166
"95",739,"acsa",17.5,"C",240.53,116.746361636617,2.47293148675573
"96",2493,"acsa",17.2,"C",232.35,112.64151399583,2.42712168104266
"97",797,"acsa",17.1,"C",229.66,111.290102532063,2.41173148060965
"98",79,"acsa",16.8,"I",221.67,107.286433208149,2.36597556513419
"99",NA,"acsa",16.1,"I",203.58,98.2390507555441,2.25939606888896
"100",72,"acsa",16,"I",201.06,96.9801738064011,2.24416247509152
"101",55,"acsa",15.7,"I",193.59,93.2538722751536,2.19862774424656
"102",734,"acsa",15.5,"I",188.69,90.8115752630195,2.16827118591667
"103",709,"acsa",15.3,"I",183.85,88.4027664300939,2.13802905335821
"104",134,"acsa",14.8,"C",172.03,82.5270545087316,2.06242597647051
"105",NA,"acsa",14.7,"I",169.72,81.3769628239009,2.04712475528485
"106",2090,"acsa",14.5,"I",165.13,79.1017986252509,2.01706104390923
"107",NA,"acsa",14.5,"I",165.13,79.1017986252509,2.01706104390923
"108",95,"acsa",14.3,"S",160.61,76.8599666297764,1.98681434505552
"109",50,"acsa",14.2,"I",158.37,75.7515401021472,1.97181369488345
"110",2494,"acsa",14.1,"I",156.14,74.6514344454281,1.95700108615893
"111",43,"acsa",13.5,"S",143.14,68.2253064061778,1.86675233750236
"112",1543,"acsa",13.1,"I",134.78,64.1071066115437,1.8070157440455
"113",80,"acsa",13,"I",132.73,63.0982527363244,1.79208196037518
"114",731,"acsa",13,"I",132.73,63.0982527363244,1.79208196037518
"115",NA,"acsa",12.9,"I",130.7,62.0976684631833,1.7770117924182
"116",NA,"acsa",12.6,"I",124.69,59.1454884049564,1.73234374668789
"117",NA,"acsa",12.5,"S",122.72,58.1779375252102,1.71740759459615
"118",782,"acsa",12.2,"I",116.9,55.3247478840182,1.67280810804277
"119",NA,"acsa",12.1,"I",114.99,54.3901567674381,1.65801349099358
"120",113,"acsa",12,"I",113.1,53.463793826091,1.6430733270178
"121",NA,"acsa",11.9,"S",111.22,52.5456542814336,1.62835215651851
"122",711,"acsa",11.8,"I",109.36,51.6357333177438,1.61348389974893
"123",758,"acsa",11.4,"S",102.07,48.0781376226204,1.55438085628681
"124",47,"acsa",11.3,"I",100.29,47.2092359834315,1.53950778808343
"125",NA,"acsa",11.2,"I",98.52,46.3485232151294,1.52486676726748
"126",724,"acsa",11,"I",95.03,44.6516438734772,1.49550972660177
"127",704,"acsa",10.9,"S",93.31,43.815466984344,1.48079195830135
"128",85,"acsa",10.7,"S",89.92,42.1676126512923,1.45127330774249
"129",NA,"acsa",10.5,"I",86.59,40.5523888949647,1.42191443030283
"130",NA,"acsa",10.3,"S",83.32,38.9697526431681,1.39272251322727
"131",735,"acsa",10.2,"S",81.71,38.1906411616604,1.37808465176066
"132",NA,"acsa",10,"I",78.54,36.6568037141133,1.34871985411923
"133",798,"acsa",9.9,"S",76.98,35.9020664855175,1.33399068224619
"134",801,"acsa",9.7,"I",73.9,34.4169264673154,1.30488177094261
"135",2093,"acsa",9.6,"I",72.38,33.6865120948228,1.29050856469505
"136",NA,"acsa",9.6,"S",72.38,33.6865120948228,1.29050856469505
"137",NA,"acsa",9.6,"S",72.38,33.6865120948228,1.29050856469505
"138",2491,"acsa",9.3,"S",67.93,31.5438208489342,1.24675297293718
"139",NA,"acsa",9.1,"S",65.04,30.1557598527484,1.21773232017086
"140",62,"acsa",8.9,"S",62.21,28.7999615385847,1.18890286516301
"141",2904,"acsa",8.8,"S",60.82,28.1341452552057,1.17443966236554
"142",740,"acsa",8.5,"S",56.74,26.1849512837215,1.13134928303848
"143",NA,"acsa",8.1,"S",51.53,23.6983758557979,1.07357788668962
"144",2914,"acsa",7.9,"S",49.02,22.5031167296825,1.04473009426186
"145",744,"acsa",7.9,"S",49.02,22.5031167296825,1.04473009426186
"146",NA,"acsa",7.8,"S",47.78,21.9174700409135,1.03080047378488
"147",NA,"acsa",7.7,"S",46.57,21.3398024713268,1.01609314068621
"148",36,"acsa",7.6,"S",45.36,20.7701068169442,1.00228437618585
"149",69,"acsa",7.5,"S",44.18,20.2083757862422,0.987680065550944
"150",793,"acsa",7,"S",38.48,17.5189283670255,0.916954905255673
"151",702,"acsa",6.4,"S",32.17,14.5528194122595,0.831935920544435
"152",NA,"acsa",6,"S",28.27,12.7329103795803,0.776126486041958
"153",68,"acsa",5.9,"S",27.34,12.2975404038365,0.761811789088687
"154",792,"frpe",44.2,"D",1534.38,1447.30466850488,16.8353098601014
"155",778,"frpe",38.9,"D",1188.47,1125.32717607853,14.9668089408697
"156",NA,"frpe",32.5,"C",829.58,789.747597677048,12.6892334871003
"157",2916,"frpe",32.4,"C",824.48,784.967656263228,12.6535679533937
"158",199,"frpe",32.3,"C",819.4,780.202003779555,12.6177032606907
"159",114,"frpe",31.7,"C",789.24,751.908230917277,12.4028154669397
"160",NA,"frpe",31.1,"C",759.64,724.129197175742,12.1879397457958
"161",111,"frpe",29.9,"C",702.15,670.116533722502,11.7567919551737
"162",31,"frpe",29.8,"C",697.46,665.70854659054,11.7208790432272
"163",791,"frpe",27.6,"C",598.28,572.359616538668,10.9275931210041
"164",123,"frpe",27.4,"C",589.65,564.21769337889,10.8547651302896
"165",721,"osvi",53,"S",2206.18,1157.19259021552,8.22697767054348
"166",625,"osvi",14.2,"I",158.37,75.7515401021472,1.97181369488345
"167",808,"osvi",10.3,"S",83.32,38.9697526431681,1.39272251322727
"168",2499,"osvi",10.3,"S",83.32,38.9697526431681,1.39272251322727
"169",822,"osvi",9.7,"S",73.9,34.4169264673154,1.30488177094261
"170",2922,"osvi",8.5,"S",56.74,26.1849512837215,1.13134928303848
"171",2097,"osvi",7.8,"S",47.78,21.9174700409135,1.03080047378488
"172",796,"osvi",7.7,"S",46.57,21.3398024713268,1.01609314068621
"173",NA,"osvi",7.7,"S",46.57,21.3398024713268,1.01609314068621
"174",712,"osvi",7.5,"S",44.18,20.2083757862422,0.987680065550944
"175",56,"osvi",7.4,"S",43.01,19.6546019979152,0.973415990791441
