Taxon,SPP,FLUX,COL,SOURCE
Ash,FRPE,1.39E-06,2,Blakely
Basswood,TIAM,1.19E-05,3,Blakely
Beech,FAGR,5.56E-05,4,Hernandez-Santana
Birch,BEAL,9.81E-06,5,Blakely
Cedar.juniper,THOC,6.80E-06,8,Ewers
Hemlock,TSCA,5.70E-06,14,Blakely
Ironwood,OSVI,9.87E-06,16,Blakely
Maple,ACSA,1.05E-05,17,Blakely
Oak,QURU,4.50E-05,19,Bovard
Pine,PIRE,5.80E-06,21,Blakely (Cox)
Poplar,POTR,3.18E-05,22,Blakely
Hardwood,NA,2.20E-05,100,(mean)
Evergreen,NA,6.10E-06,101,(mean)
