"","x","y","rowSums(pls.transp[3:31], na.rm = TRUE)"
"169",213000,1374000,252179238.31166
"170",221000,1374000,333223071.02925
"171",237000,1374000,338064097.703406
"172",245000,1374000,200511014.123647
"173",253000,1374000,279537628.96995
"174",261000,1374000,236459989.946295
"175",269000,1374000,352050289.580739
"176",277000,1374000,302042986.449581
"177",285000,1374000,308506068.142666
"178",301000,1374000,222151200.865873
"179",29000,1366000,2053204.73257372
"180",85000,1366000,27447774.1291141
"181",101000,1366000,47837120.2794214
"182",109000,1366000,96495195.8434526
"183",117000,1366000,161822987.180791
"184",125000,1366000,65911363.0392913
"185",165000,1366000,18168985.9374548
"186",181000,1366000,50927570.064685
"187",189000,1366000,98994996.9442805
"188",197000,1366000,136610364.033797
"189",205000,1366000,195911584.505759
"190",213000,1366000,381097971.103824
"191",221000,1366000,237527038.795921
"192",229000,1366000,170915959.429717
"193",237000,1366000,313548799.527739
"194",245000,1366000,225307412.806896
"195",253000,1366000,183368719.77765
"196",261000,1366000,225633714.364072
"197",269000,1366000,182844133.002151
"198",277000,1366000,351674736.576644
"199",285000,1366000,511888238.678002
"200",293000,1366000,265339059.443494
"201",301000,1366000,321335534.44218
"202",309000,1366000,52260241.9930726
"203",29000,1358000,23391922.3296169
"204",37000,1358000,63293542.9744001
"205",93000,1358000,56592230.6645765
"206",101000,1358000,141629361.40424
"207",109000,1358000,79964396.8309959
"208",117000,1358000,116470280.416185
"209",125000,1358000,120452569.464672
"210",133000,1358000,120145514.860255
"211",165000,1358000,20862830.8822787
"212",181000,1358000,241031021.277895
"213",189000,1358000,143726606.935326
"214",197000,1358000,236657793.818192
"215",205000,1358000,264123489.056263
"216",213000,1358000,206231877.35564
"217",221000,1358000,200702703.639213
"218",229000,1358000,218440336.332939
"219",237000,1358000,230921225.328555
"220",245000,1358000,316271827.936026
"221",253000,1358000,233176794.576398
"222",261000,1358000,193557468.717067
"223",269000,1358000,131877894.442597
"224",277000,1358000,155250173.232401
"225",285000,1358000,119867451.165051
"226",293000,1358000,235561222.576816
"227",301000,1358000,182043411.648656
"228",309000,1358000,309506167.405996
"229",317000,1358000,243014418.586456
"230",-19000,1350000,73453823.2558793
"231",21000,1350000,440573.623061775
"232",29000,1350000,13047624.490481
"233",53000,1350000,42029720.433184
"234",69000,1350000,13555090.7379823
"235",93000,1350000,27554137.131957
"236",101000,1350000,59059622.678399
"237",109000,1350000,59834301.6748837
"238",117000,1350000,119538833.605912
"239",125000,1350000,71829182.9637995
"240",133000,1350000,167050902.397622
"241",165000,1350000,47103678.0586041
"242",189000,1350000,188024065.633925
"243",197000,1350000,158402986.711562
"244",205000,1350000,303889654.379459
"245",213000,1350000,473896275.639035
"246",221000,1350000,240975183.689501
"247",229000,1350000,111584702.308902
"248",237000,1350000,257221334.068188
"249",245000,1350000,278692777.717622
"250",253000,1350000,213632768.454557
"251",261000,1350000,187494416.146045
"252",269000,1350000,127924270.129255
"253",277000,1350000,170251552.748879
"254",285000,1350000,244645479.120741
"255",293000,1350000,195518031.752012
"256",301000,1350000,191750505.547551
"257",309000,1350000,190376348.301846
"258",317000,1350000,377684552.584848
"259",333000,1350000,0
"260",21000,1342000,5046823.28517024
"261",29000,1342000,6865096.12893661
"262",77000,1342000,41811508.1923785
"263",101000,1342000,29422544.176125
"264",109000,1342000,108952450.747881
"265",117000,1342000,57347509.0036165
"266",133000,1342000,241212870.915718
"267",141000,1342000,146942999.614939
"268",157000,1342000,142842775.035141
"269",165000,1342000,124577390.696975
"270",173000,1342000,174655991.320686
"271",181000,1342000,121350196.924951
"272",197000,1342000,131297455.314906
"273",213000,1342000,346901532.642063
"274",221000,1342000,262254907.491795
"275",229000,1342000,122369756.483135
"276",237000,1342000,123728637.942409
"277",245000,1342000,180277526.420458
"278",253000,1342000,314477567.741625
"279",261000,1342000,182225226.726354
"280",269000,1342000,190223487.041744
"281",277000,1342000,165755732.338911
"282",285000,1342000,190558859.499982
"283",293000,1342000,273396345.618612
"284",301000,1342000,217574509.505216
"285",309000,1342000,303737965.978573
"286",317000,1342000,259374460.213469
"287",349000,1342000,177120764.522352
"288",21000,1334000,21738520.4390354
"289",37000,1334000,200272667.08217
"290",53000,1334000,3348526.67644113
"291",133000,1334000,415899419.868792
"292",141000,1334000,423786711.266777
"293",149000,1334000,206787840.748546
"294",157000,1334000,184336529.172782
"295",165000,1334000,158460184.770802
"296",173000,1334000,200614699.843848
"297",181000,1334000,86983979.2935614
"298",189000,1334000,66688377.627885
"299",197000,1334000,174203198.176102
"300",205000,1334000,287893124.282891
"301",213000,1334000,292884470.369643
"302",221000,1334000,106919158.754773
"303",229000,1334000,328783756.339806
"304",237000,1334000,242869105.986545
"305",245000,1334000,158175692.868134
"306",253000,1334000,304150762.111672
"307",261000,1334000,157025879.532329
"308",269000,1334000,127632339.416747
"309",277000,1334000,151966912.515324
"310",285000,1334000,180820328.765047
"311",293000,1334000,159333628.632145
"312",301000,1334000,207792252.52158
"313",309000,1334000,146552562.728001
"314",317000,1334000,175126160.412035
"315",325000,1334000,237677802.495155
"316",333000,1334000,108485568.718358
"317",341000,1334000,100553799.310179
"318",349000,1334000,202698991.35837
"319",29000,1326000,0
"320",53000,1326000,56693154.0762832
"321",61000,1326000,40511622.2044178
"322",85000,1326000,23692132.3509421
"323",93000,1326000,27341148.2506603
"324",101000,1326000,43500869.8012018
"326",149000,1326000,177455890.079959
"327",157000,1326000,350920508.130072
"328",165000,1326000,244562641.401208
"329",173000,1326000,158868975.374635
"330",181000,1326000,263621953.484815
"331",189000,1326000,262591773.865554
"332",197000,1326000,157172671.765759
"333",205000,1326000,112343925.471764
"334",221000,1326000,256559695.618986
"335",229000,1326000,226411717.643089
"336",237000,1326000,35190659.1212943
"337",245000,1326000,110989216.918235
"338",253000,1326000,321094658.796357
"339",261000,1326000,135269806.986053
"340",269000,1326000,118032449.262684
"341",277000,1326000,113115823.444597
"342",285000,1326000,244206268.509015
"343",293000,1326000,174111265.606182
"344",301000,1326000,186790935.829095
"345",309000,1326000,162885695.80216
"346",317000,1326000,267850403.766326
"347",325000,1326000,205282372.268939
"348",333000,1326000,149706185.982126
"349",341000,1326000,124358411.716527
"350",349000,1326000,161313868.010091
"351",357000,1326000,83270622.4275305
"352",365000,1326000,189652501.113277
"353",373000,1326000,143183644.886035
"354",61000,1318000,26381153.1734769
"355",77000,1318000,56785908.0987384
"356",93000,1318000,58905213.0455958
"357",101000,1318000,97329548.2941018
"358",109000,1318000,90200115.3378141
"359",117000,1318000,138141011.243312
"360",125000,1318000,108925624.787047
"361",133000,1318000,219995388.614539
"362",149000,1318000,244896186.325976
"363",157000,1318000,311017552.307682
"364",165000,1318000,251719074.889046
"365",173000,1318000,238833707.901529
"366",181000,1318000,190021106.640384
"367",189000,1318000,257865459.410455
"368",197000,1318000,189366402.187096
"369",205000,1318000,249248855.399472
"370",213000,1318000,280551387.186413
"371",221000,1318000,138842697.836424
"372",229000,1318000,168822257.633259
"373",237000,1318000,112177721.184203
"374",245000,1318000,102684556.892222
"375",253000,1318000,157739077.347855
"376",261000,1318000,230579259.799566
"377",269000,1318000,214669114.501794
"378",277000,1318000,112490399.177044
"379",285000,1318000,100304160.92793
"380",293000,1318000,190774662.404132
"381",301000,1318000,128874167.201616
"382",309000,1318000,118634490.579934
"383",317000,1318000,137863474.923531
"384",325000,1318000,125385163.682942
"385",333000,1318000,183621163.549201
"386",341000,1318000,163935314.677545
"387",357000,1318000,119825208.668048
"388",365000,1318000,197650051.788255
"389",373000,1318000,270519533.996069
"390",421000,1318000,151595653.834614
"391",429000,1318000,374243252.460732
"392",437000,1318000,274293040.438463
"393",61000,1310000,118966611.682131
"394",77000,1310000,152563982.900386
"395",85000,1310000,194189581.542055
"396",93000,1310000,223765197.070789
"397",101000,1310000,156170038.385077
"398",109000,1310000,55475719.1869646
"399",117000,1310000,94720542.956045
"400",125000,1310000,335486252.905022
"401",133000,1310000,510631307.122495
"402",141000,1310000,257996775.610481
"403",149000,1310000,272061038.787988
"404",157000,1310000,303440766.668768
"405",165000,1310000,218282488.188291
"406",173000,1310000,199241355.685859
"407",181000,1310000,201327585.621188
"408",189000,1310000,316263357.013944
"409",197000,1310000,253429621.503107
"410",205000,1310000,122094051.925444
"411",213000,1310000,116403027.650754
"412",221000,1310000,154942326.384242
"413",229000,1310000,365090934.093127
"414",237000,1310000,251036232.36295
"415",245000,1310000,219632183.4768
"416",253000,1310000,106359951.198557
"417",261000,1310000,238757952.12034
"418",269000,1310000,318180218.751513
"419",277000,1310000,157667138.947396
"420",285000,1310000,136048032.850877
"421",293000,1310000,149262152.844227
"422",301000,1310000,123876692.385459
"423",309000,1310000,172020276.854247
"424",317000,1310000,115166290.57992
"425",325000,1310000,133672049.362099
"426",333000,1310000,133495694.88057
"427",341000,1310000,116596140.059101
"428",349000,1310000,67618819.8605103
"429",357000,1310000,165757041.025032
"430",365000,1310000,398627063.305916
"431",373000,1310000,392121496.592972
"432",381000,1310000,152029305.783881
"433",389000,1310000,148446136.923293
"434",421000,1310000,113418971.400927
"435",437000,1310000,306095193.288823
"436",21000,1302000,19840349.0543949
"437",29000,1302000,190902626.795846
"438",37000,1302000,300756174.753157
"439",53000,1302000,139469155.465305
"440",77000,1302000,185978157.555385
"441",93000,1302000,73967699.4967348
"442",101000,1302000,38967177.2313885
"443",109000,1302000,87976310.3930472
"444",117000,1302000,148537152.34693
"445",125000,1302000,285643529.464419
"446",133000,1302000,235846580.56726
"447",141000,1302000,421797857.644564
"448",149000,1302000,488376631.005944
"449",157000,1302000,332873707.512207
"450",165000,1302000,206651822.935083
"451",173000,1302000,435191071.701967
"452",181000,1302000,450001803.389136
"453",189000,1302000,361331966.59105
"454",197000,1302000,214013165.642035
"455",205000,1302000,402890971.825592
"456",213000,1302000,147858412.278782
"457",221000,1302000,289430064.204309
"458",237000,1302000,250015462.917664
"459",245000,1302000,338107569.972682
"460",253000,1302000,400190847.410035
"461",261000,1302000,68844103.3659049
"462",269000,1302000,185004078.222163
"463",277000,1302000,338326648.223709
"464",285000,1302000,146707612.565085
"465",293000,1302000,91717533.7134944
"466",301000,1302000,153367539.396992
"467",309000,1302000,330238258.06387
"468",317000,1302000,202293737.996516
"469",325000,1302000,238306449.795882
"470",333000,1302000,244568728.167364
"471",341000,1302000,200724914.364732
"472",349000,1302000,180995933.687254
"473",357000,1302000,233548513.132316
"474",365000,1302000,333885193.769071
"475",373000,1302000,305955937.408515
"476",381000,1302000,308805853.961044
"477",389000,1302000,262064863.153749
"478",405000,1302000,302122660.518576
"479",413000,1302000,150735188.355283
"480",421000,1302000,107430764.641572
"481",429000,1302000,67866710.8154796
"482",437000,1302000,115862164.285815
"483",445000,1302000,85721091.184717
"484",453000,1302000,115201402.342429
"485",461000,1302000,228422863.92376
"486",469000,1302000,272525060.338398
"487",477000,1302000,161642472.27205
"488",485000,1302000,129605701.703454
"494",21000,1294000,13132873.0588287
"495",45000,1294000,3425641.72151973
"496",61000,1294000,5956839.93484155
"497",69000,1294000,269170712.947149
"498",77000,1294000,305789404.311917
"499",85000,1294000,189117424.034301
"500",93000,1294000,126596873.942272
"501",109000,1294000,91856367.2229559
"502",117000,1294000,103037617.113973
"503",125000,1294000,242996495.535335
"504",133000,1294000,484785834.671713
"505",141000,1294000,507245563.483954
"506",149000,1294000,344636457.056204
"507",157000,1294000,241142981.799542
"508",165000,1294000,251103436.933092
"509",173000,1294000,526264953.978403
"510",181000,1294000,253069720.904336
"511",189000,1294000,273809038.199366
"512",197000,1294000,235171807.02279
"513",205000,1294000,210373127.115403
"514",213000,1294000,168840304.292201
"515",221000,1294000,184695357.909095
"516",229000,1294000,198639626.579858
"517",237000,1294000,124683732.819471
"518",245000,1294000,199826499.091807
"519",253000,1294000,151965309.525992
"520",261000,1294000,133335634.918174
"521",277000,1294000,177679702.460075
"522",285000,1294000,186807329.59727
"523",293000,1294000,188629803.484821
"524",301000,1294000,76465878.8720219
"525",309000,1294000,114585057.411906
"526",317000,1294000,165157289.419514
"527",333000,1294000,144681411.345165
"528",341000,1294000,130576204.610075
"529",349000,1294000,350803730.019638
"530",357000,1294000,146473093.896262
"531",373000,1294000,122771681.79621
"532",381000,1294000,78522179.18444
"533",389000,1294000,145443385.10043
"534",397000,1294000,96572110.7488451
"535",405000,1294000,68577985.8335288
"536",413000,1294000,59540143.8831526
"537",421000,1294000,35173941.6182005
"538",429000,1294000,31564504.2974728
"539",437000,1294000,93497639.1958507
"540",445000,1294000,140042896.29921
"541",461000,1294000,284920386.2341
"542",469000,1294000,139183685.187264
"543",477000,1294000,209010449.684063
"544",485000,1294000,322154439.530874
"545",493000,1294000,421151409.819162
"546",501000,1294000,118784753.478135
"547",509000,1294000,137084244.779439
"548",517000,1294000,173218425.298274
"558",61000,1286000,96062392.7247017
"559",69000,1286000,291039724.276208
"560",77000,1286000,44492274.1490972
"561",85000,1286000,106616380.923835
"562",101000,1286000,188356270.607699
"563",125000,1286000,112171823.808389
"564",133000,1286000,139591556.726774
"565",141000,1286000,123486203.986808
"566",149000,1286000,251835759.255737
"567",157000,1286000,206035314.71867
"568",165000,1286000,168867983.537514
"569",173000,1286000,253824394.843077
"570",181000,1286000,225097276.600813
"571",189000,1286000,232910614.163703
"572",197000,1286000,170394967.862843
"573",205000,1286000,420427413.327717
"574",213000,1286000,380377857.515682
"575",221000,1286000,260466901.779306
"576",229000,1286000,235247205.732311
"577",237000,1286000,179573525.297094
"578",245000,1286000,212181558.330514
"579",253000,1286000,160291340.0266
"580",261000,1286000,258805450.336454
"581",269000,1286000,92092837.6604871
"582",277000,1286000,262121355.03756
"583",285000,1286000,189287024.100785
"584",301000,1286000,187315219.991554
"585",309000,1286000,147015880.467356
"586",317000,1286000,118534124.792646
"587",325000,1286000,62421185.2397593
"588",333000,1286000,124301820.654969
"589",341000,1286000,144330585.190727
"590",349000,1286000,136021999.158696
"591",357000,1286000,109939899.312232
"592",365000,1286000,97337616.5116429
"593",373000,1286000,56571433.0326275
"594",381000,1286000,102040627.910684
"595",397000,1286000,105579001.526874
"596",405000,1286000,162200034.153473
"597",421000,1286000,81739772.1582504
"598",429000,1286000,76890451.7931485
"599",437000,1286000,111834893.093282
"600",445000,1286000,163163047.156731
"601",453000,1286000,302986958.956477
"602",461000,1286000,490580167.88592
"603",469000,1286000,248750276.377043
"604",477000,1286000,141574426.327316
"605",485000,1286000,201098460.055567
"606",493000,1286000,233758925.176205
"607",501000,1286000,222111240.853687
"608",509000,1286000,326041419.796028
"609",517000,1286000,294020538.422218
"610",525000,1286000,217621198.004693
"626",-19000,1278000,22044625.4454437
"627",61000,1278000,51145072.6908931
"628",69000,1278000,157496321.506001
"629",77000,1278000,201647039.003859
"630",85000,1278000,41466259.940657
"631",93000,1278000,116125407.46941
"632",101000,1278000,149547887.387994
"633",109000,1278000,96183084.6314447
"634",125000,1278000,101572465.43313
"635",133000,1278000,190741751.044696
"636",141000,1278000,282445650.889747
"637",149000,1278000,177128847.991125
"638",157000,1278000,147761337.499713
"639",165000,1278000,125361920.755383
"640",173000,1278000,130960616.254488
"641",181000,1278000,126838083.76347
"642",189000,1278000,101535867.554144
"643",197000,1278000,480807080.56393
"644",205000,1278000,363767550.046624
"645",213000,1278000,221335924.919116
"646",221000,1278000,184001350.025844
"647",229000,1278000,287746887.206828
"648",237000,1278000,165436192.728891
"649",245000,1278000,241729942.640579
"650",253000,1278000,136989182.571652
"651",261000,1278000,224383204.439624
"652",269000,1278000,156524360.621643
"653",277000,1278000,444841843.948218
"654",293000,1278000,163751408.33752
"655",301000,1278000,161612522.925253
"656",309000,1278000,97414844.1184304
"657",317000,1278000,144295998.800486
"658",325000,1278000,83955906.8136455
"659",333000,1278000,108449875.381581
"660",341000,1278000,177011769.366433
"661",349000,1278000,217903076.701937
"662",357000,1278000,179932574.560096
"663",365000,1278000,103236106.634807
"664",373000,1278000,121073606.561652
"665",381000,1278000,97050124.5132459
"666",389000,1278000,200271379.090175
"667",405000,1278000,208716049.898724
"668",421000,1278000,105154046.612663
"669",429000,1278000,96149514.3945634
"670",437000,1278000,173198166.339864
"671",445000,1278000,135434573.253946
"672",453000,1278000,101567851.707594
"673",461000,1278000,222170270.281192
"674",469000,1278000,136826966.888941
"675",477000,1278000,183625283.67512
"676",485000,1278000,149582179.220519
"677",493000,1278000,225814054.831615
"678",501000,1278000,306801116.293909
"679",509000,1278000,148299361.529676
"700",-19000,1270000,15431337.2873731
"701",21000,1270000,220037359.02575
"702",29000,1270000,126743556.114783
"703",45000,1270000,72279112.6506245
"704",53000,1270000,14815107.8869035
"705",61000,1270000,29837259.8118735
"706",69000,1270000,52100146.4518341
"707",77000,1270000,15449119.5926363
"708",85000,1270000,71751753.5166776
"709",93000,1270000,83365690.8244189
"710",109000,1270000,111381599.426801
"711",117000,1270000,123302318.823417
"712",125000,1270000,509645948.668948
"713",141000,1270000,168256379.026312
"714",149000,1270000,75652265.7216157
"715",157000,1270000,140282888.356736
"716",165000,1270000,215619357.170849
"717",173000,1270000,84158589.5884653
"718",181000,1270000,72621808.2088595
"719",197000,1270000,105507330.192865
"720",205000,1270000,99612080.4281185
"721",213000,1270000,46678140.6426235
"722",221000,1270000,249790414.575475
"723",229000,1270000,269633068.748309
"724",237000,1270000,278214231.255954
"725",253000,1270000,157585548.781394
"726",261000,1270000,299407578.37905
"727",269000,1270000,232625970.970814
"728",277000,1270000,290086890.405246
"729",285000,1270000,267774019.621222
"730",293000,1270000,246674886.408997
"731",309000,1270000,123298554.603529
"732",317000,1270000,199108296.770579
"733",325000,1270000,83734485.3825261
"734",333000,1270000,113629934.396059
"735",341000,1270000,122729900.187781
"736",349000,1270000,160364701.725516
"737",357000,1270000,166337290.856784
"738",365000,1270000,128676791.994991
"739",373000,1270000,110740221.357431
"740",381000,1270000,148240318.70511
"741",389000,1270000,113374728.297882
"742",397000,1270000,125490222.442548
"743",405000,1270000,166884920.217124
"744",413000,1270000,184399187.263192
"745",421000,1270000,167128376.02015
"746",429000,1270000,100743083.129712
"747",437000,1270000,71628306.57969
"748",445000,1270000,95823142.3995489
"749",453000,1270000,125892121.716625
"750",461000,1270000,366126962.768382
"751",469000,1270000,205456052.975392
"752",477000,1270000,220650722.694167
"753",485000,1270000,153870932.533841
"773",61000,1262000,135391873.533319
"774",69000,1262000,42128324.6251181
"775",77000,1262000,141376673.626081
"776",85000,1262000,68285643.3079892
"777",93000,1262000,168908440.630765
"778",101000,1262000,242205984.059527
"779",109000,1262000,149599538.946863
"780",117000,1262000,181622230.396276
"781",125000,1262000,220377954.072268
"782",133000,1262000,98783736.8179915
"783",157000,1262000,95789522.2542886
"784",165000,1262000,116327737.979646
"785",189000,1262000,92985766.536128
"786",197000,1262000,85387245.4268019
"787",205000,1262000,157318692.370502
"788",213000,1262000,158113601.179777
"789",221000,1262000,515519963.703362
"790",229000,1262000,439357624.773861
"791",237000,1262000,601032111.527315
"792",245000,1262000,408177836.473732
"793",253000,1262000,320320630.704428
"794",261000,1262000,373829666.137754
"795",269000,1262000,478628325.064619
"796",277000,1262000,228863273.169444
"797",285000,1262000,294811109.440301
"798",293000,1262000,432922281.614312
"799",301000,1262000,417019980.102856
"800",309000,1262000,367492640.655409
"801",317000,1262000,188229136.161078
"802",325000,1262000,261043297.573105
"803",333000,1262000,128876621.743064
"804",341000,1262000,117394685.571478
"805",349000,1262000,86192876.6076923
"806",357000,1262000,77408621.7312098
"807",365000,1262000,184809256.952936
"808",373000,1262000,147595029.863161
"809",381000,1262000,151834921.01801
"810",389000,1262000,121769212.177059
"811",397000,1262000,128233982.546998
"812",405000,1262000,111716343.033984
"813",413000,1262000,120919371.655649
"814",421000,1262000,383425868.361648
"815",429000,1262000,190463139.007166
"816",437000,1262000,275850770.089697
"817",445000,1262000,191219501.954313
"818",453000,1262000,177076063.10095
"835",13000,1254000,28578537.7922089
"836",53000,1254000,175799287.954097
"837",61000,1254000,258488540.85232
"838",69000,1254000,157288596.771242
"839",77000,1254000,158632993.893428
"840",85000,1254000,140428776.979891
"841",93000,1254000,236282353.246589
"842",101000,1254000,156523911.423892
"843",109000,1254000,140807661.317055
"844",117000,1254000,106791773.237262
"845",125000,1254000,239731840.098725
"846",133000,1254000,246272731.562508
"847",141000,1254000,308190819.73836
"848",149000,1254000,160153473.133526
"849",157000,1254000,408473530.981874
"850",165000,1254000,253262190.237178
"851",173000,1254000,65817110.5335635
"852",181000,1254000,97771589.0086184
"853",189000,1254000,127396059.33661
"854",197000,1254000,145911097.321379
"855",205000,1254000,344698859.622274
"856",213000,1254000,235919718.79761
"857",221000,1254000,330396807.666923
"858",229000,1254000,422249006.924163
"859",237000,1254000,272047923.863535
"860",245000,1254000,646503876.277223
"861",253000,1254000,332961957.496228
"862",261000,1254000,421768152.642064
"863",269000,1254000,271769104.009278
"864",277000,1254000,213968407.619539
"865",285000,1254000,195479504.158244
"866",293000,1254000,233059986.100525
"867",301000,1254000,199740596.231456
"868",309000,1254000,267143402.727412
"869",317000,1254000,159611713.468419
"870",325000,1254000,123753676.752718
"871",333000,1254000,186400443.739491
"872",341000,1254000,179359538.140737
"873",349000,1254000,281509536.412869
"874",357000,1254000,160366530.962664
"875",365000,1254000,100893262.503481
"876",373000,1254000,196546452.920976
"877",381000,1254000,128228411.539591
"878",389000,1254000,105190861.333283
"879",397000,1254000,224091201.641922
"880",405000,1254000,435676599.057143
"881",413000,1254000,228904070.978678
"882",421000,1254000,244395952.915212
"883",429000,1254000,175719943.395973
"884",445000,1254000,114775899.817191
"902",-27000,1246000,35120141.9535592
"903",45000,1246000,4575646.0123127
"904",53000,1246000,134446311.759491
"905",61000,1246000,134173250.85085
"906",69000,1246000,116108454.25716
"907",77000,1246000,111331319.745412
"908",85000,1246000,62344614.244485
"909",93000,1246000,217873548.097272
