Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
SYV,189,1500,1.39,1508.9,0.40568,0.2107,0.10579,0.44279,0.37915,0.14163,0.26804,0.13055,0.14954,0.23708,0.11475,0.26671,0.20683,0.2654,NaN,0.27248,0.26637,0.3522,0.16643,0.36414
SYV,189,1530,1.37,1134.2,0.41252,0.20973,0.10608,0.44353,0.37922,0.1458,0.26835,0.13265,0.15268,0.22932,0.11651,0.2966,0.21208,0.26588,NaN,0.26818,0.27032,0.34957,0.16357,0.36766
SYV,189,1600,1.21,688.81,0.40531,0.20377,0.1095,0.46138,0.3962,0.15354,0.27678,0.13164,0.15521,0.22318,0.11597,0.31368,0.21635,0.26018,NaN,0.26704,0.27697,0.35103,0.1547,0.36444
SYV,189,1630,1.16,439.95,0.40264,0.19683,0.11267,0.46498,0.37189,0.15066,0.27231,0.13283,0.14769,0.21233,0.11831,0.28793,0.2139,0.25454,NaN,0.25707,0.26647,0.34815,0.14755,0.35527
SYV,189,1700,1.11,387.74,0.38755,0.1833,0.10129,0.40443,0.3219,0.12857,0.2211,0.13237,0.12618,0.20143,0.11603,0.25908,0.17572,0.22399,NaN,0.22045,0.23851,0.31458,0.14636,0.33562
SYV,189,1730,1.17,432.54,0.33995,0.15976,0.080167,0.37039,0.30131,0.10552,0.19767,0.11609,0.10319,0.17717,0.11127,0.15721,0.15245,0.20019,NaN,0.18658,0.21505,0.30133,0.12597,0.30445
SYV,189,1800,1.1,309.25,0.28934,0.13823,0.061746,0.29743,0.23539,0.083819,0.15747,0.098199,0.078431,0.15205,0.10034,0.090786,0.11683,0.16438,NaN,0.13572,0.17906,0.26395,0.11032,0.27748
SYV,189,1830,0.98,161.13,0.24946,0.11748,0.048114,0.23458,0.18735,0.055979,0.12284,0.078716,0.062203,0.12883,0.08907,0.060202,0.091167,0.13845,NaN,0.099581,0.14788,0.23867,0.090738,0.24568
SYV,189,1900,0.88,56.79,0.24655,0.10723,0.037329,0.23081,0.17913,0.045511,0.13264,0.063601,0.056193,0.11237,0.078553,0.034027,0.075288,0.12418,NaN,0.088758,0.13344,0.24421,0.084926,0.23861
SYV,189,1930,0.78,11.33,0.22997,0.096988,0.029899,0.18491,0.16176,0.03096,0.11243,0.052358,0.04838,0.098629,0.072837,0.017029,0.062173,0.10963,NaN,0.077576,0.11581,0.21555,0.070353,0.22076
SYV,189,2000,0.76,0,0.19419,0.081861,0.023905,0.12505,0.11716,0.019707,0.074057,0.043361,0.037013,0.084216,0.066999,0.0069395,0.048118,0.091037,NaN,0.052876,0.091227,0.16358,0.052873,0.18497
SYV,189,2030,0.73,0,0.15915,0.064363,0.017323,0.076082,0.08192,0.0090672,0.047214,0.033296,0.02265,0.067646,0.05584,0,0.034428,0.060974,NaN,0.032575,0.064656,0.11135,0.035939,0.14694
SYV,189,2100,0.64,0,0.13105,0.050575,0.012776,0.049293,0.059384,0.0058616,0.032411,0.026564,0.014849,0.052132,0.049659,0,0.02515,0.041941,NaN,0.018596,0.047138,0.083792,0.02607,0.11458
SYV,189,2130,0.6,0,0.11414,0.038216,0.011509,0.034329,0.047114,0.0026756,0.023861,0.020067,0.0088932,0.042013,0.042196,0,0.017451,0.02961,NaN,0.011125,0.037356,0.068964,0.017998,0.093921
SYV,189,2200,0.58,0,0.097985,0.030394,0.0093808,0.026724,0.038399,0.0012154,0.019113,0.015262,0.0064384,0.034443,0.037995,0,0.01337,0.023354,NaN,0.0068954,0.030756,0.060646,0.013069,0.077311
SYV,189,2230,0.55,0,0.079048,0.023738,0.0042642,0.018711,0.032495,0.0013445,0.015169,0.011959,0.004619,0.025545,0.03399,0,0.010019,0.014739,NaN,0.0041796,0.024553,0.05137,0.0097768,0.0597
SYV,189,2300,0.47,0,0.060731,0.017461,0.0028053,0.010649,0.025904,0.0024522,0.01065,0.01071,0.0042062,0.020147,0.031001,0,0.0094743,0.0093454,NaN,0.0026255,0.01858,0.043625,0.0079157,0.045974
SYV,189,2330,0.42,0,0.050833,0.013174,0.0017753,0.0070663,0.020516,0.0028268,0.0081163,0.0091733,0.0041052,0.016381,0.027862,0,0.0070737,0.0057094,NaN,0.0010759,0.015281,0.037047,0.0062361,0.038104
SYV,190,0,0.35,0,0.040856,0.0087743,0.00053567,0.0038418,0.013341,0,0.0049981,0.0079305,0.0035374,0.010205,0.024412,0,0.0074576,0.0022683,NaN,0.00083742,0.006391,0.031892,0.0042092,0.030149
SYV,190,30,NaN,0,0.032282,0.0031047,0.00014527,0,0.003555,0,0.0038289,0.0045291,0,0.0071992,0.020012,0,0.005066,0,NaN,0.00059903,0.0048235,0.024134,0.00096492,0.023509
