YEAR,DOY,HOUR,MIN,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
2016,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,0,30,0.139636105,0,0,0.148516332,0.062004731,0.026917794,0.032600637,0,0.002512495,0.013805623,NA,0.024107149,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,0,0.145747423,0.011488244,0.010632832,0.454161421,0.146113824,0.091843857,0.027087682,0.015130749,0.014872917,0.015418625,NA,0.095325838,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,1,30,0.139140749,0.012751494,0.027330725,0.429864289,0.228989015,0.086729502,0.038466705,0.013519439,0.037083865,0.04564166,NA,0.060462379,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,2,0,0.396309079,0.008515576,0.003485044,0.360529021,0.249720666,0.067765545,0.060254228,0,0.042396562,0.055560154,NA,0.024829336,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,2,30,0.285470358,0.015538599,0.022280151,0.337438106,0.327539554,0.065741415,0.044489451,0.004325732,0.039914428,0.05337996,NA,0.042228237,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,3,0,0.151274004,0,0.041220943,0.34848928,0.37652078,0.078175493,0.047942173,0.014027702,0.023377188,0.089726152,NA,0.036360745,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,3,30,0.163894896,0.015816378,0.029996499,0.433794173,0.41968834,0.093706318,0.054381507,0.004164518,0.024835309,0.101057914,NA,0.039986261,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,4,0,0.264342623,0.017307003,0.027461529,0.370030125,0.519608949,0.080124316,0.077413284,8.15E-05,0.037186925,0.11715593,NA,0.033893956,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,4,30,0.321299762,0.009903375,0.017064806,0.276073943,0.550958416,0.064164018,0.091195374,0.000491555,0.038615891,0.138439561,NA,0.01914756,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,5,0,0.521511873,0,0.002149355,0.34699463,0.56177001,0.076622962,0.095225907,0,0.032959294,0.151060248,NA,0.022627119,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,5,30,0.490282627,0.002906739,0.0170559,0.392435507,0.587346913,0.089684349,0.099494045,0.002205908,0.042551796,0.159137756,NA,0.006165944,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,6,0,0.748670163,0.006606855,0,0.352705261,0.642040211,0.087988721,0.117931545,0.004969988,0.048249825,0.16689151,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,6,30,0.538802911,0.016593145,0.021926608,0.521458997,0.608668018,0.106949867,0.110950401,0.008038096,0.054025385,0.164614346,NA,0.023070189,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,7,0,0.597257309,0.012674587,0.00142299,0.336361515,0.56225263,0.076552867,0.111943923,0.007394214,0.056412397,0.163065497,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,7,30,0.483861602,0.023571037,0.046550579,0.601599465,0.544021408,0.110009876,0.097900007,0.017744505,0.058215224,0.160785557,NA,0.027863797,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,8,0,0.588807143,0.012601975,0,0.259922978,0.483392395,0.059081947,0.094350432,0.001593334,0.039823041,0.133799846,NA,0.008856167,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,8,30,0.548181634,0.023607713,0.035710636,0.484852429,0.431751837,0.08261312,0.084371608,0.025287027,0.049477306,0.127012332,NA,0.041710853,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,9,0,0.580919211,0.021967752,0.030464397,0.362804853,0.448397778,0.066699913,0.091462292,0.016289381,0.04713593,0.129442488,NA,0.020712399,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,9,30,0.656144161,0.006013164,0.061321094,0.248781523,0.51406623,0.043834018,0.071250474,0.004198294,0.029829502,0.14162082,NA,0.006843138,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,10,0,0.589726896,0.019087565,0.106404167,0.40220831,0.603664054,0.05280824,0.068411497,0.005274889,0.02797675,0.159201237,NA,0.008679551,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,10,30,0.975073508,0.034052321,0.149540454,0.477612557,0.802328239,0.064542508,0.082059651,0,0.022447356,0.15683874,NA,0.003489177,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,11,0,1.560794436,0.026005099,0.214125208,0.612044618,1.06218272,0.074415281,0.103835888,0,0.003097375,0.160043864,NA,0.016570998,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,11,30,1.791617147,0.028343673,0.289631689,0.644130126,1.32002532,0.108444372,0.112098444,0,0,0.173572902,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,12,0,1.996560258,0.017383781,0.389384851,0.995748904,1.571258588,0.150678982,0.123758754,0,0,0.197137264,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,12,30,2.467608892,0.036360745,0.445007832,1.393033006,1.879736722,0.182432387,0.178744583,0,0,0.237787698,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
2016,1,13,0,2.855519158,0.046258419,0.531417416,1.537573528,1.932403954,0.18812355,0.204267032,0,0,0.225749163,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
