Site,ID,SPP,Sens,DBH,CC
SYV,40,TSCA,1,60.5,D/C
SYV,39,TSCA,2,36.5,C
SYV,43,TSCA,3,13.5,S
SYV,24,TSCA,4,20,C
SYV,2727,OSVI,5,18,S/I
SYV,222,OSVI,6,13.5,S
SYV,225,BEAL,7,55.5,D
SYV,223,TSCA,8,19.5,I
SYV,262,ACSA,9,35.5,C
SYV,277,TSCA,10,29,I
SYV,42,TSCA,11,27,I/C
SYV,41,BEAL,12,72,D
SYV,115,ACSA,13,83.5,D
SYV,2754,ACSA,14,23.5,I/C
SYV,601,ACSA,15,21.3,S
SYV,282,ACSA,16,17.5,C
SYV,7,ACSA,17,28,C/I
SYV,323,ACSA,18,7,S
SYV,1573,TSCA,19,21.5,I
SYV,38,TSCA,20,33,C
