TIMESTAMP,DecDOY,HHMM,DOY,H,M,RECORD,C1,C2,C3,C4,C5
7/29/16 15:50,211.6597,15:50,211,15,50,7,0.1315303,0.1783235,0.1116868,0.1014298,0.07803325
7/29/16 15:55,211.6632,15:55,211,15,55,8,0.1313306,0.179331,0.1118891,0.125297,0.09660409
7/29/16 16:00,211.6667,16:00,211,16,0,9,0.130394,0.1769873,0.1112204,0.1238911,0.09633738
7/29/16 16:05,211.6701,16:05,211,16,5,10,0.1503737,0.1974367,0.1347531,0.1487647,0.1165849
7/29/16 16:10,211.6736,16:10,211,16,10,11,0.162642,0.214666,0.1851008,0.2040064,0.1621727
7/29/16 16:15,211.6771,16:15,211,16,15,12,0.1635136,0.2158058,0.1847657,0.2044758,0.1610331
7/29/16 16:20,211.6806,16:20,211,16,20,13,0.1623741,0.2143981,0.1857045,0.2047442,0.1596924
7/29/16 16:25,211.6840,16:25,211,16,25,14,0.1624417,0.2145329,0.1857721,0.204879,0.1584862
7/29/16 16:30,211.6875,16:30,211,16,30,15,0.1625099,0.2135959,0.1865109,0.2048804,0.1584203
7/29/16 16:35,211.6910,16:35,211,16,35,16,0.1656621,0.2142008,0.187719,0.2074295,0.160902
7/29/16 16:40,211.6944,16:40,211,16,40,17,0.1672047,0.2168164,0.1891948,0.2101791,0.162981
7/29/16 16:45,211.6979,16:45,211,16,45,18,0.1664682,0.2175551,0.1895311,0.2114542,0.163049
7/29/16 16:50,211.7014,16:50,211,16,50,19,0.1640546,0.2168175,0.1898662,0.2109848,0.1626467
7/29/16 16:55,211.7049,16:55,211,16,55,20,0.1628481,0.2171532,0.190403,0.2099125,0.1622448
7/29/16 17:00,211.7083,17:00,211,17,0,21,0.1639213,0.2155447,0.1914091,0.211388,0.1632508
7/29/16 17:05,211.7118,17:05,211,17,5,22,0.1663357,0.2184287,0.1929521,0.2138027,0.1648607
7/29/16 17:10,211.7153,17:10,211,17,10,23,0.1694205,0.2193014,0.1932212,0.2158151,0.1668058
7/29/16 17:15,211.7188,17:15,211,17,15,24,0.1702249,0.2204409,0.1945619,0.2184296,0.1683477
7/29/16 17:20,211.7222,17:20,211,17,20,25,0.1704273,0.2219846,0.195569,0.2221857,0.1700251
7/29/16 17:25,211.7257,17:25,211,17,25,26,0.170295,0.2239983,0.1963086,0.2244676,0.170362
7/29/16 17:30,211.7292,17:30,211,17,30,27,0.1702958,0.2235971,0.1971141,0.2252732,0.170497
7/29/16 17:35,211.7326,17:35,211,17,35,28,0.1710331,0.2237308,0.1971808,0.2256081,0.1704967
7/29/16 17:40,211.7361,17:40,211,17,40,29,0.171637,0.2244689,0.1979189,0.227419,0.1708995
7/29/16 17:45,211.7396,17:45,211,17,45,30,0.1723752,0.2252745,0.1985231,0.2286938,0.1710343
7/29/16 17:50,211.7431,17:50,211,17,50,31,0.1725769,0.2255434,0.1989931,0.2302366,0.1709678
7/29/16 17:55,211.7465,17:55,211,17,55,32,0.1725096,0.2252079,0.1995292,0.2315102,0.1709005
7/29/16 18:00,211.7500,18:00,211,18,0,33,0.1723085,0.2242022,0.1990599,0.2323148,0.1707665
7/29/16 18:05,211.7535,18:05,211,18,5,34,0.1733148,0.2249405,0.1999322,0.235802,0.1712364
7/29/16 18:10,211.7569,18:10,211,18,10,35,0.1744558,0.2254784,0.2016097,0.2397594,0.1731819
7/29/16 18:15,211.7604,18:15,211,18,15,36,0.1770725,0.227023,0.2034893,0.2451258,0.1771396
7/29/16 18:20,211.7639,18:20,211,18,20,37,0.1773421,0.2276281,0.2050329,0.2486141,0.1790853
7/29/16 18:25,211.7674,18:25,211,18,25,38,0.1763368,0.2278968,0.2057709,0.2501568,0.1783482
7/29/16 18:30,211.7708,18:30,211,18,30,39,0.1768062,0.2289026,0.2063074,0.2533082,0.1784824
