Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
1,1,1230,0,0,0.042914,0.0013953,0.010673,0.02697,0.034403,0.0051724,0.0050873,0,0,0.0064148,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1300,0,0,0.048318,0.0016967,0.012328,0.029222,0.035184,0.0053031,0.0056699,0,0,0.0061497,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1330,0,0,0.05,0.00024835,0.010533,0.022098,0.030969,0.0035975,0.0054353,0,0,0.0047229,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1400,0,0,0.043847,0,0.010404,0.021664,0.026659,0.0035898,0.0048387,0,0,0.0044741,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1430,0,0,0.04761,0.00030203,0.0096943,0.026805,0.029895,0.0045511,0.0057744,0,0,0.0058352,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1500,0,0,0.045199,5.69E-05,0.0069427,0.020407,0.027228,0.0036854,0.0055323,0,0,0.0060422,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1530,0,0,0.043596,0,0.0041943,0.016718,0.022109,0.0035752,0.0048185,0,0,0.0055325,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1600,0,0,0.041029,0,0.0026852,0.015004,0.019474,0.0029303,0.0046577,0,0,0.0053767,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1630,0,0,0.038301,0,0.0027974,0.01523,0.01738,0.0029639,0.0043938,0,0,0.0059125,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,1,1700,0,0,0.034628,0,0.0010102,0.012824,0.01449,0.0023835,0.0041287,0,0,0.0056264,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
