"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,-0.0446644187658426,-0.141444036696465,2.4900332844485,-0.0484645616043891,0.220341331727706
"2",0.139636105,0,0,0.148516332,0.062004731,0.026917794,0.032600637,0,0.002512495,0.013805623,0.013805623,0.024107149,NA,NA,NA,-0.0268588258519001,-0.12483487632502,2.51173729065401,0.0101882057290759,0.237115915893672
"3",0.145747423,0.011488244,0.010632832,0.454161421,0.146113824,0.091843857,0.027087682,0.015130749,0.014872917,0.015418625,0.015418625,0.095325838,NA,NA,NA,0.0257434534221307,-0.102304637231912,2.50806701852004,0.0127552045203614,0.239075801210609
"4",0.139140749,0.012751494,0.027330725,0.429864289,0.228989015,0.086729502,0.038466705,0.013519439,0.037083865,0.04564166,0.04564166,0.060462379,NA,NA,NA,-6.7735551831441e-06,-0.0801049225338001,2.51564264919881,0.00998013633172891,0.27579843548495
"5",0.396309079,0.008515576,0.003485044,0.360529021,0.249720666,0.067765545,0.060254228,0,0.042396562,0.055560154,0.055560154,0.024829336,NA,NA,NA,-0.0263254169560684,-0.0745515508689212,2.5301477809358,0.118001154427484,0.287849946119612
"6",0.285470358,0.015538599,0.022280151,0.337438106,0.327539554,0.065741415,0.044489451,0.004325732,0.039914428,0.05337996,0.05337996,0.042228237,NA,NA,NA,-0.013474550669226,-0.0537062642291074,2.51965231675709,0.0714444439380884,0.285200891618331
"7",0.151274004,0,0.041220943,0.34848928,0.37652078,0.078175493,0.047942173,0.014027702,0.023377188,0.089726152,0.089726152,0.036360745,NA,NA,NA,-0.017808293078078,-0.0405857002865913,2.52195098042167,0.015076590307673,0.32936349527746
"8",0.163894896,0.015816378,0.029996499,0.433794173,0.41968834,0.093706318,0.054381507,0.004164518,0.024835309,0.101057914,0.101057914,0.039986261,NA,NA,NA,-0.0151304790404668,-0.0290224386560554,2.52623799312928,0.0203778713912208,0.343132203536239
"9",0.264342623,0.017307003,0.027461529,0.370030125,0.519608949,0.080124316,0.077413284,8.15e-05,0.037186925,0.11715593,0.11715593,0.033893956,NA,NA,NA,-0.0196302688222272,-0.00225678073725091,2.54157149200944,0.0625699474370716,0.362692170101824
"10",0.321299762,0.009903375,0.017064806,0.276073943,0.550958416,0.064164018,0.091195374,0.000491555,0.038615891,0.138439561,0.138439561,0.01914756,NA,NA,NA,-0.0305219891216201,0.00614077726461085,2.55074697428253,0.0864942313588183,0.388552941438754
"11",0.521511873,0,0.002149355,0.34699463,0.56177001,0.076622962,0.095225907,0,0.032959294,0.151060248,0.151060248,0.022627119,NA,NA,NA,-0.0279519792430548,0.00903687076781401,2.55343031796209,0.170591351969744,0.403887763801628
"12",0.490282627,0.002906739,0.0170559,0.392435507,0.587346913,0.089684349,0.099494045,0.002205908,0.042551796,0.159137756,0.159137756,0.006165944,NA,NA,NA,-0.0401102390578163,0.0158881364193318,2.55627184813335,0.157473815501382,0.413702376137287
"13",0.748670163,0.006606855,0,0.352705261,0.642040211,0.087988721,0.117931545,0.004969988,0.048249825,0.16689151,0.16689151,0,NA,NA,NA,-0.0446644187658426,0.0305387887659287,2.56854668848123,0.2660069490407,0.423123609722704
"14",0.538802911,0.016593145,0.021926608,0.521458997,0.608668018,0.106949867,0.110950401,0.008038096,0.054025385,0.164614346,0.164614346,0.023070189,NA,NA,NA,-0.0276247267731597,0.0215994046811267,2.56389896357029,0.177854281774096,0.420356731387861
"15",0.597257309,0.012674587,0.00142299,0.336361515,0.56225263,0.076552867,0.111943923,0.007394214,0.056412397,0.163065497,0.163065497,0,NA,NA,NA,-0.0446644187658426,0.00916614982199565,2.5645604048683,0.202407474556949,0.4184747954614
"16",0.483861602,0.023571037,0.046550579,0.601599465,0.544021408,0.110009876,0.097900007,0.017744505,0.058215224,0.160785557,0.160785557,0.027863797,NA,NA,NA,-0.0240841574326285,0.00428256618116951,2.55521061087459,0.15477672734236,0.415704544135303
"17",0.588807143,0.012601975,0,0.259922978,0.483392395,0.059081947,0.094350432,0.001593334,0.039823041,0.133799846,0.133799846,0.008856167,NA,NA,NA,-0.0381232344731711,-0.0119580816506782,2.55284746693274,0.198858065753781,0.382915434911624
"18",0.548181634,0.023607713,0.035710636,0.484852429,0.431751837,0.08261312,0.084371608,0.025287027,0.049477306,0.127012332,0.127012332,0.041710853,NA,NA,NA,-0.0138566916218615,-0.0257909988436087,2.5462040244129,0.18179372177784,0.374668235573306
"19",0.580919211,0.021967752,0.030464397,0.362804853,0.448397778,0.066699913,0.091462292,0.016289381,0.04713593,0.129442488,0.129442488,0.020712399,NA,NA,NA,-0.0293661956177984,-0.0213320632246054,2.55092467602279,0.195544817791599,0.377621007524157
"20",0.656144161,0.006013164,0.061321094,0.248781523,0.51406623,0.043834018,0.071250474,0.004198294,0.029829502,0.14162082,0.14162082,0.006843138,NA,NA,NA,-0.0396100620900726,-0.00374150468137799,2.53746857627551,0.227142315373056,0.392418344459627
"21",0.589726896,0.019087565,0.106404167,0.40220831,0.603664054,0.05280824,0.068411497,0.005274889,0.02797675,0.159201237,0.159201237,0.008679551,NA,NA,NA,-0.0382536834365922,0.0202589966311516,2.53557851583205,0.199244398921075,0.413779509011149
"22",0.975073508,0.034052321,0.149540454,0.477612557,0.802328239,0.064542508,0.082059651,0,0.022447356,0.15683874,0.15683874,0.003489177,NA,NA,NA,-0.0420873050114666,0.0734750215297599,2.54466482967033,0.361105438917679,0.410908946431804
"23",1.560794436,0.026005099,0.214125208,0.612044618,1.06218272,0.074415281,0.103835888,0,0.003097375,0.160043864,0.160043864,0.016570998,NA,NA,NA,-0.0324250434433706,0.14308204471268,2.55916244770708,0.607131732134073,0.414803346727999
"24",1.791617147,0.028343673,0.289631689,0.644130126,1.32002532,0.108444372,0.112098444,0,0,0.173572902,0.173572902,0,NA,NA,NA,-0.0446644187658426,0.212150146854603,2.56466327785029,0.704086533068707,0.431241865048799
"25",1.996560258,0.017383781,0.389384851,0.995748904,1.571258588,0.150678982,0.123758754,0,0,0.197137264,0.197137264,0,NA,NA,NA,-0.0446644187658426,0.279447812235239,2.5724261764893,0.79017086352235,0.459873848819925
"26",2.467608892,0.036360745,0.445007832,1.393033006,1.879736722,0.182432387,0.178744583,0,0,0.237787698,0.237787698,0,NA,NA,NA,-0.0446644187658426,0.362079616551755,2.60903321499076,0.988030191758041,0.509266341032413
"27",2.855519158,0.046258419,0.531417416,1.537573528,1.932403954,0.18812355,0.204267032,0,0,0.225749163,0.225749163,0,NA,NA,NA,-0.0446644187658426,0.376187548132139,2.62602488884902,1.15096806930741,0.494638865069001
"28",2.978372661,0.004343811,0.437833086,1.090047609,1.651499028,0.11667665,0.193913084,0,0,0.163116515,0.163116515,0,NA,NA,NA,-0.0446644187658426,0.300941758176805,2.61913170600589,1.20257147035873,0.418536785111196
"29",2.533815328,0,0.431241536,1.063754073,1.373285222,0.116369306,0.168053665,0,0,0.15260391,0.15260391,0,NA,NA,NA,-0.0446644187658426,0.226416836499389,2.60191569300446,1.01583955157,0.405763397240467
"30",2.804099518,0.005526989,0.395319937,1.382549296,1.581280029,0.155843331,0.208911291,0,0,0.211622375,0.211622375,0,NA,NA,NA,-0.0446644187658426,0.282132248052273,2.62911682310037,1.12936975717108,0.477474047928858
"31",2.630331868,0.000708093,0.262100845,0.98829162,1.409455406,0.120195869,0.198181863,0,0,0.220901226,0.220901226,0,NA,NA,NA,-0.0446644187658426,0.236105716316007,2.62197366292551,1.05638037132755,0.48874835746657
