"","TIMESTAMP","RECORD","DECDOY","DOY","H","M","T1","T2","T3","T4","FLAG"
"1","9/25/15 10:30",854,268.4375,268,10,30,18.33467,18.70947,18.08444,18.3791,NA
"7","9/25/15 11:00",860,268.4583333,268,11,0,20.85855,20.69297,19.63927,20.24117,NA
"13","9/25/15 11:30",866,268.4791667,268,11,30,22.30395,20.98135,20.1256,20.32279,NA
"19","9/25/15 12:00",872,268.5,268,12,0,23.37451,22.78029,20.70961,21.95909,NA
"25","9/25/15 12:30",878,268.5208333,268,12,30,23.27943,22.37947,20.83799,21.81887,NA
"31","9/25/15 13:00",884,268.5416667,268,13,0,24.70992,23.14053,22.00653,22.60033,NA
"37","9/25/15 13:30",890,268.5625,268,13,30,20.29638,19.93493,19.61629,19.8907,NA
"43","9/25/15 14:00",896,268.5833333,268,14,0,24.29435,23.59147,22.34622,23.68534,NA
"49","9/25/15 14:30",902,268.6041667,268,14,30,24.6779,23.3292,22.45889,23.37739,NA
"55","9/25/15 15:00",908,268.625,268,15,0,20.45526,20.08715,19.73903,20.31704,NA
"61","9/25/15 15:30",914,268.6458333,268,15,30,19.4413,19.32564,19.00783,19.43477,NA
"67","9/25/15 16:00",920,268.6666667,268,16,0,20.29939,20.24911,19.68923,20.56181,NA
"73","9/25/15 16:30",926,268.6875,268,16,30,18.81717,18.81819,18.57577,18.87633,NA
"79","9/25/15 17:00",932,268.7083333,268,17,0,18.02982,18.13368,17.91161,17.94297,NA
"85","9/25/15 17:30",938,268.7291667,268,17,30,16.64877,16.63306,16.56129,16.42795,NA
"91","9/25/15 18:00",944,268.75,268,18,0,15.65023,15.43271,15.51013,15.43673,NA
"97","9/25/15 18:30",950,268.7708333,268,18,30,14.98748,14.87515,14.87947,14.83931,NA
"103","9/25/15 19:00",956,268.7916667,268,19,0,14.57372,14.46146,14.43964,14.37358,NA
"109","9/25/15 19:30",962,268.8125,268,19,30,14.1347,14.03867,14.09205,14.03628,NA
"115","9/25/15 20:00",968,268.8333333,268,20,0,13.91697,13.81182,13.80463,13.8286,NA
"121","9/25/15 20:30",974,268.8541667,268,20,30,13.77823,13.65955,13.63192,13.64431,NA
"127","9/25/15 21:00",980,268.875,268,21,0,13.54406,13.44942,13.45355,13.51052,NA
"133","9/25/15 21:30",986,268.8958333,268,21,30,13.42269,13.23281,13.3182,13.41282,NA
"139","9/25/15 22:00",992,268.9166667,268,22,0,13.79648,13.65949,13.69678,13.75367,NA
"145","9/25/15 22:30",998,268.9375,268,22,30,13.62879,13.47823,13.48164,13.54339,NA
"151","9/25/15 23:00",1004,268.9583333,268,23,0,13.79496,13.65251,13.64474,13.70148,NA
"157","9/25/15 23:30",1010,268.9791667,268,23,30,13.9307,13.71611,13.72577,13.86142,NA
"163","9/26/15 0:00",1016,269,269,0,0,13.74885,13.61648,13.60041,13.65699,NA
"169","9/26/15 0:30",1022,269.0208333,269,0,30,13.63235,13.48808,13.51636,13.52674,NA
"175","9/26/15 1:00",1028,269.0416667,269,1,0,13.40185,13.24609,13.25473,13.2773,NA
"181","9/26/15 1:30",1034,269.0625,269,1,30,13.29978,13.14466,13.16761,13.21142,NA
"187","9/26/15 2:00",1040,269.0833333,269,2,0,13.01717,12.83436,12.86136,12.88234,NA
"193","9/26/15 2:30",1046,269.1041667,269,2,30,12.78481,12.60381,12.65649,12.66324,NA
"199","9/26/15 3:00",1052,269.125,269,3,0,12.57858,12.37559,12.43755,12.42542,NA
"205","9/26/15 3:30",1058,269.1458333,269,3,30,12.36362,12.17504,12.27011,12.31854,NA
"211","9/26/15 4:00",1064,269.1666667,269,4,0,12.33062,12.09159,12.1565,12.24608,NA
"217","9/26/15 4:30",1070,269.1875,269,4,30,12.26589,12.07915,12.1277,12.19319,NA
"223","9/26/15 5:00",1076,269.2083333,269,5,0,12.72859,12.71212,12.72214,12.72281,NA
"229","9/26/15 5:30",1082,269.2291667,269,5,30,12.57797,12.57464,12.58213,12.55111,NA
"235","9/26/15 6:00",1088,269.25,269,6,0,12.61258,12.62294,12.63826,12.61217,NA
"241","9/26/15 6:30",1094,269.2708333,269,6,30,12.71157,12.75379,12.7561,12.71794,NA
"247","9/26/15 7:00",1100,269.2916667,269,7,0,13.04179,13.03752,13.05759,13.06434,NA
"253","9/26/15 7:30",1106,269.3125,269,7,30,13.31336,13.37683,13.3605,13.34723,NA
"259","9/26/15 8:00",1112,269.3333333,269,8,0,13.78924,13.9826,13.9149,13.85658,NA
"265","9/26/15 8:30",1118,269.3541667,269,8,30,14.52518,14.71108,14.56922,14.70749,NA
"271","9/26/15 9:00",1124,269.375,269,9,0,16.10546,17.05571,15.75942,15.88443,NA
"277","9/26/15 9:30",1130,269.3958333,269,9,30,16.66729,16.99221,15.91864,16.66214,NA
"283","9/26/15 10:00",1136,269.4166667,269,10,0,18.29858,18.70428,17.14741,18.13619,NA
"289","9/26/15 10:30",1142,269.4375,269,10,30,20.15934,20.38485,18.8046,18.96919,NA
"295","9/26/15 11:00",1148,269.4583333,269,11,0,21.18354,20.92708,19.70279,20.204,NA
"301","9/26/15 11:30",1154,269.4791667,269,11,30,21.99199,21.71327,20.62744,21.1776,NA
"307","9/26/15 12:00",1160,269.5,269,12,0,22.16357,21.3974,20.9568,21.01829,NA
"313","9/26/15 12:30",1166,269.5208333,269,12,30,22.15763,21.68946,20.83474,21.17653,NA
"319","9/26/15 13:00",1172,269.5416667,269,13,0,23.04184,22.31268,21.74751,22.24821,NA
"325","9/26/15 13:30",1178,269.5625,269,13,30,21.42559,21.35204,20.69482,20.98155,NA
"331","9/26/15 14:00",1184,269.5833333,269,14,0,20.74564,20.4597,20.15234,20.61181,NA
"337","9/26/15 14:30",1190,269.6041667,269,14,30,22.31079,22.01055,21.55859,21.7118,NA
"343","9/26/15 15:00",1196,269.625,269,15,0,20.74019,20.70764,20.27509,20.56964,NA
"349","9/26/15 15:30",1202,269.6458333,269,15,30,20.50617,20.45479,20.02701,20.46735,NA
"355","9/26/15 16:00",1208,269.6666667,269,16,0,20.83182,21.0113,20.37736,21.13841,NA
"361","9/26/15 16:30",1214,269.6875,269,16,30,19.91031,20.02067,19.6393,19.96502,NA
"367","9/26/15 17:00",1220,269.7083333,269,17,0,18.81003,18.9243,18.62856,18.59425,NA
"373","9/26/15 17:30",1226,269.7291667,269,17,30,17.6415,17.66527,17.43156,17.22568,NA
"379","9/26/15 18:00",1232,269.75,269,18,0,16.53339,16.36103,16.10873,16.16506,NA
"385","9/26/15 18:30",1238,269.7708333,269,18,30,16.09281,15.77405,15.73303,15.75179,NA
"391","9/26/15 19:00",1244,269.7916667,269,19,0,15.67658,15.31847,15.33684,15.23446,NA
"397","9/26/15 19:30",1250,269.8125,269,19,30,15.36028,15.08387,14.97443,15.08215,NA
"403","9/26/15 20:00",1256,269.8333333,269,20,0,15.03453,14.94279,14.8317,14.77321,NA
"409","9/26/15 20:30",1262,269.8541667,269,20,30,14.97268,14.695,14.71936,14.67898,NA
"415","9/26/15 21:00",1268,269.875,269,21,0,14.92591,14.71747,14.68176,14.59367,NA
"421","9/26/15 21:30",1274,269.8958333,269,21,30,14.81996,14.58619,14.62608,14.49175,NA
"427","9/26/15 22:00",1280,269.9166667,269,22,0,14.55749,14.41495,14.31091,14.20677,NA
"433","9/26/15 22:30",1286,269.9375,269,22,30,14.18997,13.96056,13.96405,13.92287,NA
"439","9/26/15 23:00",1292,269.9583333,269,23,0,13.9891,13.76956,13.77342,13.72419,NA
"445","9/26/15 23:30",1298,269.9791667,269,23,30,13.95816,13.7528,13.72347,13.68619,NA
"451","9/27/15 0:00",1304,270,270,0,0,13.76764,13.58057,13.54789,13.48533,NA
"457","9/27/15 0:30",1310,270.0208333,270,0,30,13.53305,13.28972,13.29979,13.17592,NA
"463","9/27/15 1:00",1316,270.0416667,270,1,0,13.3099,13.18938,13.06651,13.05229,NA
"469","9/27/15 1:30",1322,270.0625,270,1,30,13.13164,12.92086,12.8757,12.75881,NA
"475","9/27/15 2:00",1328,270.0833333,270,2,0,12.82842,12.61841,12.6133,12.48312,NA
"481","9/27/15 2:30",1334,270.1041667,270,2,30,12.61853,12.46779,12.45044,12.36631,NA
"487","9/27/15 3:00",1340,270.125,270,3,0,12.56622,12.41428,12.39861,12.36024,NA
"493","9/27/15 3:30",1346,270.1458333,270,3,30,12.49075,12.35865,12.33783,12.259,NA
"499","9/27/15 4:00",1352,270.1666667,270,4,0,12.37245,12.2207,12.17759,12.06774,NA
"505","9/27/15 4:30",1358,270.1875,270,4,30,12.17012,12.02447,12.04976,11.9503,NA
"511","9/27/15 5:00",1364,270.2083333,270,5,0,12.13361,12.01647,11.99964,11.96329,NA
"517","9/27/15 5:30",1370,270.2291667,270,5,30,12.05215,11.95313,11.93154,11.85028,NA
"523","9/27/15 6:00",1376,270.25,270,6,0,11.96963,11.86244,11.85526,11.78646,NA
"529","9/27/15 6:30",1382,270.2708333,270,6,30,12.38672,12.31461,12.21366,12.4641,NA
"535","9/27/15 7:00",1388,270.2916667,270,7,0,13.15757,13.33815,12.83148,13.39032,NA
"541","9/27/15 7:30",1394,270.3125,270,7,30,14.51316,15.16722,13.96642,14.4971,NA
"547","9/27/15 8:00",1400,270.3333333,270,8,0,15.83161,16.86044,15.10906,15.77375,NA
"553","9/27/15 8:30",1406,270.3541667,270,8,30,17.27536,18.11477,16.45059,17.17528,NA
"559","9/27/15 9:00",1412,270.375,270,9,0,18.99161,19.89425,17.99913,18.4928,NA
"565","9/27/15 9:30",1418,270.3958333,270,9,30,19.88027,20.47792,19.03925,19.48323,NA
"571","9/27/15 10:00",1424,270.4166667,270,10,0,20.88555,21.4525,19.85097,20.35143,NA
"577","9/27/15 10:30",1430,270.4375,270,10,30,22.56214,22.59173,21.10793,21.57184,NA
"583","9/27/15 11:00",1436,270.4583333,270,11,0,22.75765,22.7039,21.34981,21.61629,NA
"589","9/27/15 11:30",1442,270.4791667,270,11,30,23.25383,22.72656,21.86898,22.35781,NA
"595","9/27/15 12:00",1448,270.5,270,12,0,23.34376,22.86506,22.08823,22.5525,NA
"601","9/27/15 12:30",1454,270.5208333,270,12,30,24.39818,23.73384,22.91947,23.41457,NA
"607","9/27/15 13:00",1460,270.5416667,270,13,0,23.69329,23.18598,22.23889,22.96634,NA
"613","9/27/15 13:30",1466,270.5625,270,13,30,23.72584,23.32776,22.67377,23.16886,NA
"619","9/27/15 14:00",1472,270.5833333,270,14,0,24.41862,23.80368,23.37977,24.03952,NA
"625","9/27/15 14:30",1478,270.6041667,270,14,30,23.46823,23.14028,22.61561,23.23658,NA
"631","9/27/15 15:00",1484,270.625,270,15,0,23.0528,22.89133,22.35612,23.0676,NA
"637","9/27/15 15:30",1490,270.6458333,270,15,30,22.89811,22.88945,22.41295,23.04522,NA
"643","9/27/15 16:00",1496,270.6666667,270,16,0,22.26326,22.41573,21.86321,22.38944,NA
"649","9/27/15 16:30",1502,270.6875,270,16,30,21.61758,21.77591,21.31877,21.49892,NA
"655","9/27/15 17:00",1508,270.7083333,270,17,0,20.65799,20.79088,20.35647,20.44184,NA
"661","9/27/15 17:30",1514,270.7291667,270,17,30,19.70426,19.40923,19.27922,18.9958,NA
"667","9/27/15 18:00",1520,270.75,270,18,0,18.55045,18.35718,18.16019,18.01072,NA
"673","9/27/15 18:30",1526,270.7708333,270,18,30,17.78447,17.5358,17.42274,17.44707,NA
"679","9/27/15 19:00",1532,270.7916667,270,19,0,17.41661,17.20558,16.99273,16.96197,NA
"685","9/27/15 19:30",1538,270.8125,270,19,30,16.93763,16.66973,16.60432,16.51247,NA
"691","9/27/15 20:00",1544,270.8333333,270,20,0,16.64045,16.30818,16.28386,16.11774,NA
"697","9/27/15 20:30",1550,270.8541667,270,20,30,16.81619,16.5913,16.43287,16.39401,NA
"703","9/27/15 21:00",1556,270.875,270,21,0,16.57409,16.45617,16.34365,16.33595,NA
"709","9/27/15 21:30",1562,270.8958333,270,21,30,16.82038,16.63611,16.54653,16.46219,NA
"715","9/27/15 22:00",1568,270.9166667,270,22,0,16.87226,16.69681,16.65483,16.48868,NA
"721","9/27/15 22:30",1574,270.9375,270,22,30,16.71882,16.52919,16.5126,16.36501,NA
"727","9/27/15 23:00",1580,270.9583333,270,23,0,16.33067,16.12911,16.05505,15.923,NA
"733","9/27/15 23:30",1586,270.9791667,270,23,30,15.69322,15.51869,15.41889,15.30407,NA
"739","9/28/15 0:00",1592,271,271,0,0,15.90466,15.67118,15.62838,15.35787,NA
"745","9/28/15 0:30",1598,271.0208333,271,0,30,16.28065,16.2137,16.11917,16.1089,NA
"751","9/28/15 1:00",1604,271.0416667,271,1,0,16.90251,16.84556,16.77032,16.72812,NA
"757","9/28/15 1:30",1610,271.0625,271,1,30,17.23356,17.14627,17.11287,17.09056,NA
"763","9/28/15 2:00",1616,271.0833333,271,2,0,16.80979,16.72579,16.63358,16.5854,NA
"769","9/28/15 2:30",1622,271.1041667,271,2,30,16.85641,16.76844,16.71109,16.65055,NA
"775","9/28/15 3:00",1628,271.125,271,3,0,16.52219,16.41031,16.35452,16.31623,NA
"781","9/28/15 3:30",1634,271.1458333,271,3,30,16.28646,16.203,16.18288,16.08366,NA
"787","9/28/15 4:00",1640,271.1666667,271,4,0,16.60298,16.60134,16.53154,16.52062,NA
"793","9/28/15 4:30",1646,271.1875,271,4,30,16.57906,16.57491,16.54049,16.54511,NA
"799","9/28/15 5:00",1652,271.2083333,271,5,0,15.92866,15.9369,15.92794,15.87218,NA
"805","9/28/15 5:30",1658,271.2291667,271,5,30,15.6938,15.67838,15.63672,15.61575,NA
"811","9/28/15 6:00",1664,271.25,271,6,0,15.57071,15.53625,15.51246,15.49935,NA
"817","9/28/15 6:30",1670,271.2708333,271,6,30,15.49124,15.44624,15.4191,15.42168,NA
"823","9/28/15 7:00",1676,271.2916667,271,7,0,16.06619,16.17023,16.00286,16.13151,NA
"829","9/28/15 7:30",1682,271.3125,271,7,30,16.1816,16.20011,16.15655,16.15339,NA
"835","9/28/15 8:00",1688,271.3333333,271,8,0,16.83583,16.91221,16.81367,16.83312,NA
"841","9/28/15 8:30",1694,271.3541667,271,8,30,17.18113,17.2211,17.19274,17.22238,NA
"847","9/28/15 9:00",1700,271.375,271,9,0,16.81747,16.85075,16.78687,16.79932,NA
"853","9/28/15 9:30",1706,271.3958333,271,9,30,17.31656,17.42021,17.35484,17.4386,NA
"859","9/28/15 10:00",1712,271.4166667,271,10,0,16.89377,16.93942,16.87789,16.89054,NA
"865","9/28/15 10:30",1718,271.4375,271,10,30,17.02691,17.09895,17.02149,17.00288,NA
"871","9/28/15 11:00",1724,271.4583333,271,11,0,16.53404,17.00043,16.57437,16.78984,NA
"877","9/28/15 11:30",1730,271.4791667,271,11,30,16.34324,16.52635,16.35042,16.45418,NA
"883","9/28/15 12:00",1736,271.5,271,12,0,15.78196,15.86641,15.8978,15.75249,NA
"889","9/28/15 12:30",1742,271.5208333,271,12,30,16.34495,16.50538,16.30247,16.41012,NA
"895","9/28/15 13:00",1748,271.5416667,271,13,0,15.62858,15.64195,15.54481,15.65481,NA
"901","9/28/15 13:30",1754,271.5625,271,13,30,17.13355,17.37912,16.76628,17.16335,NA
"907","9/28/15 14:00",1760,271.5833333,271,14,0,16.95642,17.1526,16.65385,17.05684,NA
"913","9/28/15 14:30",1766,271.6041667,271,14,30,16.42031,16.72515,16.31211,16.55087,NA
"919","9/28/15 15:00",1772,271.625,271,15,0,15.69735,15.77693,15.57449,15.69325,NA
"925","9/28/15 15:30",1778,271.6458333,271,15,30,15.46838,15.41772,15.20968,15.47141,NA
"931","9/28/15 16:00",1784,271.6666667,271,16,0,15.55398,15.46407,15.37133,15.46439,NA
"937","9/28/15 16:30",1790,271.6875,271,16,30,15.17744,15.07124,15.07233,15.07594,NA
"943","9/28/15 17:00",1796,271.7083333,271,17,0,15.22176,15.17737,15.12918,15.0535,NA
"949","9/28/15 17:30",1802,271.7291667,271,17,30,13.73379,13.47324,13.76753,13.45667,NA
"955","9/28/15 18:00",1808,271.75,271,18,0,12.7079,12.4983,12.60103,12.19024,NA
"961","9/28/15 18:30",1814,271.7708333,271,18,30,12.62408,12.5203,12.64036,12.28193,NA
"967","9/28/15 19:00",1820,271.7916667,271,19,0,12.48279,12.35076,12.51592,12.19982,NA
"973","9/28/15 19:30",1826,271.8125,271,19,30,12.34816,12.06891,12.3866,12.09362,NA
"979","9/28/15 20:00",1832,271.8333333,271,20,0,12.27845,12.21443,12.43851,12.18748,NA
"985","9/28/15 20:30",1838,271.8541667,271,20,30,12.53553,12.41709,12.69246,12.45115,NA
"991","9/28/15 21:00",1844,271.875,271,21,0,12.51562,12.35955,12.50846,12.33184,NA
"997","9/28/15 21:30",1850,271.8958333,271,21,30,12.62515,12.53794,12.75107,12.59844,NA
"1003","9/28/15 22:00",1856,271.9166667,271,22,0,11.78003,11.59565,11.87404,11.5774,NA
"1009","9/28/15 22:30",1862,271.9375,271,22,30,11.14329,10.93153,11.1878,10.96813,NA
"1015","9/28/15 23:00",1868,271.9583333,271,23,0,10.50025,10.24711,10.4164,10.28948,NA
"1021","9/28/15 23:30",1874,271.9791667,271,23,30,9.823721,9.545624,9.814148,9.497015,NA
"1027","9/29/15 0:00",1880,272,272,0,0,9.228647,8.768103,9.018454,8.910746,NA
"1033","9/29/15 0:30",1886,272.0208333,272,0,30,8.905377,8.462301,8.757299,8.57605,NA
"1039","9/29/15 1:00",1892,272.0416667,272,1,0,8.320462,8.00415,8.165509,8.03245,NA
"1045","9/29/15 1:30",1898,272.0625,272,1,30,7.682648,7.39696,7.613077,7.374741,NA
"1051","9/29/15 2:00",1904,272.0833333,272,2,0,7.237952,6.835587,7.102441,6.898581,NA
"1057","9/29/15 2:30",1910,272.1041667,272,2,30,7.023694,6.681623,6.909088,6.751325,NA
"1063","9/29/15 3:00",1916,272.125,272,3,0,6.888288,6.677066,6.829532,6.744751,NA
"1069","9/29/15 3:30",1922,272.1458333,272,3,30,6.478784,6.24592,6.423911,6.24278,NA
"1075","9/29/15 4:00",1928,272.1666667,272,4,0,6.053943,5.750357,5.936102,5.785077,NA
"1081","9/29/15 4:30",1934,272.1875,272,4,30,5.422501,5.046664,5.291312,5.017999,NA
"1087","9/29/15 5:00",1940,272.2083333,272,5,0,4.867892,4.293008,4.626581,4.447385,NA
"1093","9/29/15 5:30",1946,272.2291667,272,5,30,4.476233,4.037344,4.298065,4.042215,NA
"1099","9/29/15 6:00",1952,272.25,272,6,0,3.954568,3.554062,3.855155,3.53815,NA
"1105","9/29/15 6:30",1958,272.2708333,272,6,30,4.154053,3.840488,3.983151,3.868533,NA
"1111","9/29/15 7:00",1964,272.2916667,272,7,0,4.511884,4.344238,4.319571,4.264829,NA
"1117","9/29/15 7:30",1970,272.3125,272,7,30,5.921317,6.295981,5.57934,6.002722,NA
"1123","9/29/15 8:00",1976,272.3333333,272,8,0,6.532752,7.14408,6.031131,6.316498,NA
"1129","9/29/15 8:30",1982,272.3541667,272,8,30,6.108118,6.434808,5.661316,5.821768,NA
"1135","9/29/15 9:00",1988,272.375,272,9,0,8.22164,9.326416,7.139981,7.703967,NA
"1141","9/29/15 9:30",1994,272.3958333,272,9,30,9.346365,10.09128,8.113586,8.58259,NA
"1147","9/29/15 10:00",2000,272.4166667,272,10,0,9.899106,10.26631,8.381134,8.874506,NA
"1153","9/29/15 10:30",2006,272.4375,272,10,30,11.38461,11.50521,9.543966,10.02305,NA
"1159","9/29/15 11:00",2012,272.4583333,272,11,0,11.46948,11.30819,9.585241,10.26002,NA
"1165","9/29/15 11:30",2018,272.4791667,272,11,30,12.02256,11.69727,10.03383,10.64256,NA
"1171","9/29/15 12:00",2024,272.5,272,12,0,12.12349,11.49272,10.01382,10.87443,NA
"1177","9/29/15 12:30",2030,272.5208333,272,12,30,13.41994,12.52737,11.0017,12.03648,NA
"1183","9/29/15 13:00",2036,272.5416667,272,13,0,13.21959,12.28019,10.97713,11.6951,NA
"1189","9/29/15 13:30",2042,272.5625,272,13,30,12.8402,12.03356,10.83799,11.90908,NA
"1195","9/29/15 14:00",2048,272.5833333,272,14,0,12.78456,11.73599,10.93973,11.78613,NA
"1201","9/29/15 14:30",2054,272.6041667,272,14,30,11.7182,11.49101,10.47733,11.54352,NA
"1207","9/29/15 15:00",2060,272.625,272,15,0,12.6178,11.79689,11.36077,12.24317,NA
"1213","9/29/15 15:30",2066,272.6458333,272,15,30,11.22361,11.13852,10.54811,11.23202,NA
"1219","9/29/15 16:00",2072,272.6666667,272,16,0,10.37262,10.53801,9.903708,10.5822,NA
"1225","9/29/15 16:30",2078,272.6875,272,16,30,9.369128,9.651736,9.100314,9.310016,NA
"1231","9/29/15 17:00",2084,272.7083333,272,17,0,8.083859,8.116446,7.97298,7.781641,NA
"1237","9/29/15 17:30",2090,272.7291667,272,17,30,6.343268,5.850629,5.732996,5.582468,NA
"1243","9/29/15 18:00",2096,272.75,272,18,0,5.346945,4.315256,3.685132,3.980277,NA
"1249","9/29/15 18:30",2102,272.7708333,272,18,30,4.915039,3.941571,3.054416,3.436569,NA
"1255","9/29/15 19:00",2108,272.7916667,272,19,0,4.44527,3.770252,3.673709,3.440445,NA
"1261","9/29/15 19:30",2114,272.8125,272,19,30,4.302737,3.36521,2.993439,3.143225,NA
"1267","9/29/15 20:00",2120,272.8333333,272,20,0,2.931546,2.294586,2.67131,2.460779,NA
"1273","9/29/15 20:30",2126,272.8541667,272,20,30,2.71452,1.890372,2.517712,2.427435,NA
"1279","9/29/15 21:00",2132,272.875,272,21,0,2.751944,1.784793,2.263895,2.372345,NA
"1285","9/29/15 21:30",2138,272.8958333,272,21,30,2.356494,1.747766,2.143723,2.023712,NA
"1291","9/29/15 22:00",2144,272.9166667,272,22,0,2.441321,1.769067,2.370987,2.156509,NA
"1297","9/29/15 22:30",2150,272.9375,272,22,30,2.16315,1.534665,1.792477,1.673557,NA
"1303","9/29/15 23:00",2156,272.9583333,272,23,0,2.232477,1.430243,1.552109,1.918072,NA
"1309","9/29/15 23:30",2162,272.9791667,272,23,30,2.141235,0.9148346,1.126224,2.21044,NA
"1315","9/30/15 0:00",2168,273,273,0,0,2.060025,1.3022,1.263675,1.836871,NA
"1321","9/30/15 0:30",2174,273.0208333,273,0,30,2.412051,1.307346,1.62193,2.345328,NA
"1327","9/30/15 1:00",2180,273.0416667,273,1,0,1.631769,1.239999,1.064542,1.245697,NA
"1333","9/30/15 1:30",2186,273.0625,273,1,30,2.013592,1.21351,1.599344,1.748932,NA
"1339","9/30/15 2:00",2192,273.0833333,273,2,0,2.405191,1.399634,1.727228,2.058508,NA
"1345","9/30/15 2:30",2198,273.1041667,273,2,30,2.203287,1.549561,1.814865,1.945367,NA
"1351","9/30/15 3:00",2204,273.125,273,3,0,2.08866,1.518488,1.540729,1.777777,NA
"1357","9/30/15 3:30",2210,273.1458333,273,3,30,2.468439,1.724664,2.047876,2.3018,NA
"1363","9/30/15 4:00",2216,273.1666667,273,4,0,1.753964,0.6409577,0.8658264,0.9561554,NA
"1369","9/30/15 4:30",2222,273.1875,273,4,30,1.804221,1.065091,1.131445,1.250577,NA
"1375","9/30/15 5:00",2228,273.2083333,273,5,0,2.125797,1.452676,1.50607,2.038471,NA
"1381","9/30/15 5:30",2234,273.2291667,273,5,30,2.597293,1.786359,2.081784,2.291531,NA
"1387","9/30/15 6:00",2240,273.25,273,6,0,2.14227,1.206781,1.312595,1.796237,NA
"1393","9/30/15 6:30",2246,273.2708333,273,6,30,3.580179,2.937531,2.729511,3.805691,NA
"1399","9/30/15 7:00",2252,273.2916667,273,7,0,5.399573,5.843091,4.457083,5.92995,NA
"1405","9/30/15 7:30",2258,273.3125,273,7,30,7.48851,8.741821,6.4064,7.737851,NA
"1411","9/30/15 8:00",2264,273.3333333,273,8,0,9.367386,11.23251,8.031363,8.950342,NA
"1417","9/30/15 8:30",2270,273.3541667,273,8,30,9.669968,11.28192,8.515201,9.81087,NA
"1423","9/30/15 9:00",2276,273.375,273,9,0,10.88201,12.05377,9.234851,10.75323,NA
"1429","9/30/15 9:30",2282,273.3958333,273,9,30,12.29069,12.30848,10.35703,10.62972,NA
"1435","9/30/15 10:00",2288,273.4166667,273,10,0,12.26477,13.60503,10.86407,11.80404,NA
"1441","9/30/15 10:30",2294,273.4375,273,10,30,13.53071,12.90569,11.65569,11.82877,NA
"1447","9/30/15 11:00",2300,273.4583333,273,11,0,14.51289,13.9818,12.25155,12.82582,NA
"1453","9/30/15 11:30",2306,273.4791667,273,11,30,15.22747,14.66116,12.68649,13.44725,NA
"1459","9/30/15 12:00",2312,273.5,273,12,0,14.80768,14.00778,12.59694,13.13208,NA
"1465","9/30/15 12:30",2318,273.5208333,273,12,30,15.17623,14.45357,12.94378,13.48929,NA
"1471","9/30/15 13:00",2324,273.5416667,273,13,0,15.2666,14.1212,13.14542,13.61566,NA
"1477","9/30/15 13:30",2330,273.5625,273,13,30,15.69095,14.46584,13.69928,14.32867,NA
"1483","9/30/15 14:00",2336,273.5833333,273,14,0,15.43469,14.30709,13.39837,13.99879,NA
"1489","9/30/15 14:30",2342,273.6041667,273,14,30,15.07596,14.50442,13.63788,14.66131,NA
"1495","9/30/15 15:00",2348,273.625,273,15,0,14.14976,13.77618,13.14851,14.07727,NA
"1501","9/30/15 15:30",2354,273.6458333,273,15,30,13.92456,13.82734,13.06285,14.07448,NA
"1507","9/30/15 16:00",2360,273.6666667,273,16,0,13.40257,13.72556,12.84493,13.63464,NA
"1513","9/30/15 16:30",2366,273.6875,273,16,30,12.26353,12.54482,11.99056,12.29348,NA
"1519","9/30/15 17:00",2372,273.7083333,273,17,0,11.05528,10.98725,10.76685,10.81713,NA
"1525","9/30/15 17:30",2378,273.7291667,273,17,30,9.57608,9.119675,8.984591,8.775492,NA
"1531","9/30/15 18:00",2384,273.75,273,18,0,8.506647,8.097422,8.175809,8.061991,NA
"1537","9/30/15 18:30",2390,273.7708333,273,18,30,7.571649,7.195172,7.307806,7.210928,NA
"1543","9/30/15 19:00",2396,273.7916667,273,19,0,6.878793,6.483923,6.587939,6.471756,NA
"1549","9/30/15 19:30",2402,273.8125,273,19,30,6.420938,6.029956,6.156769,6.167813,NA
"1555","9/30/15 20:00",2408,273.8333333,273,20,0,6.304029,6.079529,6.068418,6.200244,NA
"1561","9/30/15 20:30",2414,273.8541667,273,20,30,6.104959,5.904318,5.711716,5.828311,NA
"1567","9/30/15 21:00",2420,273.875,273,21,0,5.911664,5.411059,5.480075,5.669458,NA
"1573","9/30/15 21:30",2426,273.8958333,273,21,30,5.406991,4.976959,5.094894,5.29296,NA
"1579","9/30/15 22:00",2432,273.9166667,273,22,0,5.072046,4.537652,4.64321,5.008685,NA
"1585","9/30/15 22:30",2438,273.9375,273,22,30,4.735608,3.94877,4.090591,4.547614,NA
"1591","9/30/15 23:00",2444,273.9583333,273,23,0,4.326828,3.730453,3.599316,3.994214,NA
"1597","9/30/15 23:30",2450,273.9791667,273,23,30,4.138217,3.545718,3.556177,3.973892,NA
"1603","10/1/15 0:00",2456,274,274,0,0,3.862918,3.125272,3.19422,3.797028,NA
"1609","10/1/15 0:30",2462,274.0208333,274,0,30,3.945233,3.118912,3.120706,3.786591,NA
"1615","10/1/15 1:00",2468,274.0416667,274,1,0,3.907291,2.744205,2.966739,3.829416,NA
"1621","10/1/15 1:30",2474,274.0625,274,1,30,3.226193,2.295645,2.509607,3.385696,NA
"1627","10/1/15 2:00",2480,274.0833333,274,2,0,2.416574,1.964127,2.044064,2.350528,NA
"1633","10/1/15 2:30",2486,274.1041667,274,2,30,1.943469,1.355255,1.467578,1.747031,NA
"1639","10/1/15 3:00",2492,274.125,274,3,0,1.399689,0.991217,1.069778,1.382379,NA
