TIMESTAMP,DecDOY,HH:MM,DOY,H,M,RECORD,C1,C2
7/26/16 22:30,208.9375,22:30,208,22,35,85678,0.2532831,0.2325215
7/26/16 22:35,208.9410,22:35,208,22,40,85679,0.2534277,0.232655
7/26/16 22:40,208.9444,22:40,208,22,45,85680,0.2529609,0.232017
7/26/16 22:45,208.9479,22:45,208,22,50,85681,0.2534553,0.2325166
7/26/16 22:50,208.9514,22:50,208,22,55,85682,0.2540255,0.2333075
7/26/16 22:55,208.9549,22:55,208,22,0,85683,0.2544438,0.2335272
7/26/16 23:00,208.9583,23:00,208,23,5,85684,0.2548879,0.2337171
7/26/16 23:05,208.9618,23:05,208,23,10,85685,0.2552114,0.2355912
7/26/16 23:10,208.9653,23:10,208,23,15,85686,0.2553188,0.2371389
7/26/16 23:15,208.9688,23:15,208,23,20,85687,0.2556737,0.2376537
7/26/16 23:20,208.9722,23:20,208,23,25,85688,0.2559934,0.237979
7/26/16 23:25,208.9757,23:25,208,23,30,85689,0.256535,0.2384709
7/26/16 23:30,208.9792,23:30,208,23,35,85690,0.2567073,0.2387424
7/26/16 23:35,208.9826,23:35,208,23,40,85691,0.2571622,0.2386894
7/26/16 23:40,208.9861,23:40,208,23,45,85692,0.2574675,0.2389338
7/26/16 23:45,208.9896,23:45,208,23,50,85693,0.2580045,0.2391396
7/26/16 23:50,208.9931,23:50,208,23,55,85694,0.2583239,0.2394867
7/26/16 23:55,208.9965,23:55,208,23,0,85695,0.2585416,0.2360228
7/27/16 0:00,209.0000,00:00,209,0,5,85696,0.2583825,0.2342078
7/27/16 0:05,209.0035,00:05,209,0,10,85697,0.2581694,0.2357055
7/27/16 0:10,209.0069,00:10,209,0,15,85698,0.2557265,0.2304199
7/27/16 0:15,209.0104,00:15,209,0,20,85699,0.2533125,0.2281435
7/27/16 0:20,209.0139,00:20,209,0,25,85700,0.2521219,0.2268148
7/27/16 0:25,209.0174,00:25,209,0,30,85701,0.2520989,0.2296505
7/27/16 0:30,209.0208,00:30,209,0,35,85702,0.2507907,0.2348441
7/27/16 0:35,209.0243,00:35,209,0,40,85703,0.2491409,0.2351149
7/27/16 0:40,209.0278,00:40,209,0,45,85704,0.2485656,0.2332807
7/27/16 0:45,209.0313,00:45,209,0,50,85705,0.2485759,0.229664
7/27/16 0:50,209.0347,00:50,209,0,55,85706,0.2491048,0.2281556
7/27/16 0:55,209.0382,00:55,209,0,0,85707,0.2490307,0.2271925
7/27/16 1:00,209.0417,01:00,209,1,5,85708,0.2493029,0.2264929
7/27/16 1:05,209.0451,01:05,209,1,10,85709,0.249311,0.2257611
7/27/16 1:10,209.0486,01:10,209,1,15,85710,0.2483477,0.2244222
7/27/16 1:15,209.0521,01:15,209,1,20,85711,0.2469807,0.2242584
7/27/16 1:20,209.0556,01:20,209,1,25,85712,0.2460486,0.2244579
7/27/16 1:25,209.0590,01:25,209,1,30,85713,0.2457518,0.2247407
7/27/16 1:30,209.0625,01:30,209,1,35,85714,0.2452291,0.2249521
7/27/16 1:35,209.0660,01:35,209,1,40,85715,0.244955,0.2242693
7/27/16 1:40,209.0694,01:40,209,1,45,85716,0.2440973,0.2238033
7/27/16 1:45,209.0729,01:45,209,1,50,85717,0.2437291,0.223479
7/27/16 1:50,209.0764,01:50,209,1,55,85718,0.2438562,0.2226566
7/27/16 1:55,209.0799,01:55,209,1,0,85719,0.2438124,0.2220165
7/27/16 2:00,209.0833,02:00,209,2,5,85720,0.24405,0.2216855
7/27/16 2:05,209.0868,02:05,209,2,10,85721,0.2444393,0.2215721
7/27/16 2:10,209.0903,02:10,209,2,15,85722,0.2443734,0.2216718
7/27/16 2:15,209.0938,02:15,209,2,20,85723,0.2446778,0.2218767
7/27/16 2:20,209.0972,02:20,209,2,25,85724,0.2447724,0.2217394
7/27/16 2:25,209.1007,02:25,209,2,30,85725,0.2448561,0.2220549
7/27/16 2:30,209.1042,02:30,209,2,35,85726,0.2453652,0.2227958
7/27/16 2:35,209.1076,02:35,209,2,40,85727,0.245792,0.223631
7/27/16 2:40,209.1111,02:40,209,2,45,85728,0.2457653,0.2242115
7/27/16 2:45,209.1146,02:45,209,2,50,85729,0.2455019,0.2243344
7/27/16 2:50,209.1181,02:50,209,2,55,85730,0.2451047,0.2242464
7/27/16 2:55,209.1215,02:55,209,2,0,85731,0.2451213,0.2247653
7/27/16 3:00,209.1250,03:00,209,3,5,85732,0.2452704,0.2251187
7/27/16 3:05,209.1285,03:05,209,3,10,85733,0.2453366,0.2252844
7/27/16 3:10,209.1319,03:10,209,3,15,85734,0.2457958,0.225495
7/27/16 3:15,209.1354,03:15,209,3,20,85735,0.2465158,0.2266897
7/27/16 3:20,209.1389,03:20,209,3,25,85736,0.2467931,0.2272318
7/27/16 3:25,209.1424,03:25,209,3,30,85737,0.2470092,0.2279779
