"","x","y","rowSums(fia.transp[3:31], na.rm = TRUE)"
"345",309000,1326000,589964099.177532
"346",317000,1326000,11052682.3016449
"347",325000,1326000,287566554.43411
"348",333000,1326000,11336845.1303176
"349",341000,1326000,17299572.7958326
"350",349000,1326000,332252830.319612
"351",357000,1326000,115143222.661536
"352",365000,1326000,114026903.644801
"353",373000,1326000,77943407.234975
"354",61000,1318000,53026583.0434306
"355",77000,1318000,84197874.9851343
"356",93000,1318000,349840584.395741
"357",101000,1318000,126560697.736525
"358",109000,1318000,561772411.612878
"359",117000,1318000,223766568.743776
"360",125000,1318000,554415343.858095
"361",133000,1318000,480640147.001729
"362",149000,1318000,278583420.3671
"363",157000,1318000,148880717.468406
"364",165000,1318000,1700766133.95388
"365",173000,1318000,285685659.681304
"366",181000,1318000,970704083.425463
"367",189000,1318000,512862491.297839
"368",197000,1318000,250781174.536411
"369",205000,1318000,121305562.427821
"370",213000,1318000,225409901.467797
"371",221000,1318000,82393798.9374913
"372",229000,1318000,329457477.480156
"373",237000,1318000,384939396.732627
"374",245000,1318000,323306226.521953
"375",253000,1318000,371630185.591997
"376",261000,1318000,573473097.455511
"377",269000,1318000,969283061.21394
"378",277000,1318000,56840453.9012491
"379",285000,1318000,105941751.591442
"380",293000,1318000,557805542.791174
"381",301000,1318000,833287901.636992
"382",309000,1318000,118978496.910813
"383",317000,1318000,443036980.221087
"384",325000,1318000,287329753.42563
"385",333000,1318000,306198021.764086
"386",341000,1318000,232608039.623373
"387",357000,1318000,1066601932.54732
"388",365000,1318000,67408950.023393
"389",373000,1318000,1505022948.74054
"390",421000,1318000,280701953.220692
"391",429000,1318000,8089081.77360687
"392",437000,1318000,59359880.9248367
"393",61000,1310000,216163116.633637
"394",77000,1310000,689348947.200091
"395",85000,1310000,726229423.92107
"396",93000,1310000,177438947.831905
"397",101000,1310000,195207327.95362
"398",109000,1310000,462107907.465155
"399",117000,1310000,498243298.823418
"400",125000,1310000,123771102.687602
"401",133000,1310000,456471353.976955
"402",141000,1310000,415221707.349324
"403",149000,1310000,538888918.798502
"404",157000,1310000,118087223.148162
"405",165000,1310000,149703928.162311
"406",173000,1310000,143615389.913578
"407",181000,1310000,446343147.175909
"408",189000,1310000,282534073.592163
"409",197000,1310000,247054784.433279
"410",205000,1310000,196156839.910579
"411",213000,1310000,379646550.703162
"412",221000,1310000,819955985.629385
"413",229000,1310000,378600897.463303
"414",237000,1310000,350007413.626064
"415",245000,1310000,527642261.235026
"416",253000,1310000,988395931.83244
"417",261000,1310000,487515709.358164
"418",269000,1310000,572163723.476362
"419",277000,1310000,1221730603.53065
"420",285000,1310000,685668083.617671
"421",293000,1310000,972279764.806365
"422",301000,1310000,631863994.440358
"423",309000,1310000,152394290.808062
"424",317000,1310000,357584056.797719
"425",325000,1310000,523316940.584083
"426",333000,1310000,10949403.324394
"427",341000,1310000,235954186.404944
"428",349000,1310000,125391095.635393
"429",357000,1310000,280470342.09755
"430",365000,1310000,475193651.093327
"431",373000,1310000,216552628.946015
"432",381000,1310000,13462557.6237802
"433",389000,1310000,16230291.5087884
"434",421000,1310000,9954435.57822625
"435",437000,1310000,200437344.975296
"436",21000,1302000,137136168.242684
"437",29000,1302000,478948391.367418
"438",37000,1302000,384154794.263935
"439",53000,1302000,220834191.81417
"440",77000,1302000,172626862.664856
"441",93000,1302000,912847642.819523
"442",101000,1302000,1096657423.12165
"443",109000,1302000,273048161.835596
"444",117000,1302000,436773210.757687
"445",125000,1302000,117190392.544163
"446",133000,1302000,179392893.370739
"447",141000,1302000,662164513.72875
"448",149000,1302000,23669835.4982731
"449",157000,1302000,3949489.58120927
"450",165000,1302000,96268304.8962261
"451",173000,1302000,415054446.681321
"452",181000,1302000,347546822.936859
"453",189000,1302000,203416990.560077
"454",197000,1302000,542317306.431641
"455",205000,1302000,642746760.421106
"456",213000,1302000,273832997.276317
"457",221000,1302000,186639081.692927
"458",237000,1302000,200480648.856731
"459",245000,1302000,331337096.388401
"460",253000,1302000,129899659.330206
"461",261000,1302000,119040912.267646
"462",269000,1302000,797299565.112728
"463",277000,1302000,635337951.963565
"464",285000,1302000,349422516.142648
"465",293000,1302000,130955641.995068
"466",301000,1302000,12253124.3780441
"467",309000,1302000,52379091.5446421
"468",317000,1302000,194209922.002774
"469",325000,1302000,322391924.406556
"470",333000,1302000,392199829.609088
"471",341000,1302000,166940284.104846
"472",349000,1302000,570789064.941481
"473",357000,1302000,293467961.555445
"474",365000,1302000,159297675.151924
"475",373000,1302000,1047281344.22624
"476",381000,1302000,6101967.33829497
"477",389000,1302000,257090095.6833
"478",405000,1302000,120323157.664689
"479",413000,1302000,362363207.607748
"480",421000,1302000,115955673.683032
"481",429000,1302000,116071563.986117
"482",437000,1302000,371775762.726185
"483",445000,1302000,382664781.835324
"484",453000,1302000,185151881.36694
"485",461000,1302000,77788182.4276748
"486",469000,1302000,747146528.750278
"487",477000,1302000,68042128.5789532
"488",485000,1302000,571342109.332805
"494",21000,1294000,148443356.577707
"495",45000,1294000,157823016.900676
"496",61000,1294000,369734739.785701
"497",69000,1294000,163937480.790302
"498",77000,1294000,215490986.943921
"499",85000,1294000,1020927043.76069
"500",93000,1294000,345300333.646236
"501",109000,1294000,180917618.264015
"502",117000,1294000,716999336.044574
"503",125000,1294000,567355340.430451
"504",133000,1294000,370370737.955902
"505",141000,1294000,614277819.622891
"506",149000,1294000,1145275947.06811
"507",157000,1294000,324619873.225563
"508",165000,1294000,273135747.223742
"509",173000,1294000,736972194.89552
"510",181000,1294000,61287929.3675649
"511",189000,1294000,10949403.324394
"512",197000,1294000,587924083.604243
"513",205000,1294000,826980129.633792
"514",213000,1294000,406445349.123537
"515",221000,1294000,846270969.085001
"516",229000,1294000,288881555.725204
"517",237000,1294000,0
"518",245000,1294000,37919775.0478406
"519",253000,1294000,1022147098.82804
"520",261000,1294000,269947474.285181
"521",277000,1294000,21555483.0444824
"522",285000,1294000,545695889.02813
"523",293000,1294000,76556698.5886909
"524",301000,1294000,152480495.588132
"525",309000,1294000,213199426.264605
"526",317000,1294000,0
"527",333000,1294000,402283701.233607
"528",341000,1294000,227026735.691884
"529",349000,1294000,156990424.723057
"530",357000,1294000,221149768.683585
"531",373000,1294000,60040997.8715702
"532",381000,1294000,229083319.905552
"533",389000,1294000,795945510.443777
"534",397000,1294000,521101951.685194
"535",405000,1294000,97605279.0681653
"536",413000,1294000,216770415.945259
"537",421000,1294000,302279148.550584
"538",429000,1294000,119267115.066647
"539",437000,1294000,1094578351.34273
"540",445000,1294000,45180766.6259324
"541",461000,1294000,598016302.646787
"542",469000,1294000,410341378.223933
"543",477000,1294000,1007251283.77799
"544",485000,1294000,30198079.56968
"545",493000,1294000,548766222.563841
"546",501000,1294000,526173893.011141
"547",509000,1294000,1014025729.57491
"548",517000,1294000,161225895.87144
"558",61000,1286000,51972541.4664418
"559",69000,1286000,307578792.237678
"560",77000,1286000,364112256.907176
"561",85000,1286000,1050498685.2896
"562",101000,1286000,892882947.369852
"563",125000,1286000,1343565478.20627
"564",133000,1286000,360904063.660925
"565",141000,1286000,311177596.541389
"566",149000,1286000,1030898485.18326
"567",157000,1286000,485999396.41416
"568",165000,1286000,46460247.8055962
"569",173000,1286000,500585079.094256
"570",181000,1286000,852059029.115173
"571",189000,1286000,757738514.998174
"572",197000,1286000,794295867.600567
"573",205000,1286000,115844193.569678
"574",213000,1286000,137016531.729818
"575",221000,1286000,453180438.867104
"576",229000,1286000,55509290.7371838
"577",237000,1286000,502252041.385016
"578",245000,1286000,449833753.305721
"579",253000,1286000,619060455.105905
"580",261000,1286000,884014651.010853
"581",269000,1286000,364306092.486019
"582",277000,1286000,55362326.3718186
"583",285000,1286000,674137503.948964
"584",301000,1286000,292512379.773147
"585",309000,1286000,190198126.232365
"586",317000,1286000,77941752.553818
"587",325000,1286000,106947697.131133
"588",333000,1286000,499921808.709504
"589",341000,1286000,527306214.284434
"590",349000,1286000,212365042.947433
"591",357000,1286000,495512113.543281
"592",365000,1286000,165461789.005017
"593",373000,1286000,744619437.914952
"594",381000,1286000,150532047.229914
"595",397000,1286000,160215010.28169
"596",405000,1286000,292058985.813322
"597",421000,1286000,332072920.052292
"598",429000,1286000,353833945.613368
"599",437000,1286000,145904330.503255
"600",445000,1286000,164183590.390596
"601",453000,1286000,912298716.341238
"602",461000,1286000,300988619.942203
"603",469000,1286000,1036740515.42346
"604",477000,1286000,355068725.751532
"605",485000,1286000,96420021.6315312
"606",493000,1286000,131578187.205881
"607",501000,1286000,1211629716.32918
"608",509000,1286000,467567403.565207
"609",517000,1286000,496947247.493133
"610",525000,1286000,291592409.46363
"626",-19000,1278000,139786675.938045
"627",61000,1278000,137112334.185792
"628",69000,1278000,214279889.970458
"629",77000,1278000,603329522.026757
"630",85000,1278000,1250375621.86801
"631",93000,1278000,593834776.410062
"632",101000,1278000,466656768.091619
"633",109000,1278000,103930220.487184
"634",125000,1278000,338019522.736414
"635",133000,1278000,358838027.324352
"636",141000,1278000,843030043.383308
"637",149000,1278000,1028215144.26033
"638",157000,1278000,455555736.678879
"639",165000,1278000,256887605.092319
"640",173000,1278000,270859715.073873
"641",181000,1278000,70447826.3475461
"642",189000,1278000,422896094.545933
"643",197000,1278000,1512529351.69848
"644",205000,1278000,1360910176.13693
"645",213000,1278000,412177482.967696
"646",221000,1278000,804118425.572566
"647",229000,1278000,601489689.825761
"648",237000,1278000,824662050.749517
"649",245000,1278000,315220554.079645
"650",253000,1278000,241123437.509872
"651",261000,1278000,450977034.71041
"652",269000,1278000,148844105.425125
"653",277000,1278000,267988788.558652
"654",293000,1278000,1116976322.638
"655",301000,1278000,532096820.615798
"656",309000,1278000,282757436.965962
"657",317000,1278000,121246594.439086
"658",325000,1278000,488267035.419243
"659",333000,1278000,348944236.654414
"660",341000,1278000,351322968.201793
"661",349000,1278000,66771108.114451
"662",357000,1278000,262549491.089732
"663",365000,1278000,452560726.409951
"664",373000,1278000,355999920.847986
"665",381000,1278000,362239436.212085
"666",389000,1278000,424582112.107256
"667",405000,1278000,85921748.3095183
"668",421000,1278000,450448076.233213
"669",429000,1278000,114420835.393318
"670",437000,1278000,652670584.252566
"671",445000,1278000,569127691.216876
"672",453000,1278000,1454463702.67193
"673",461000,1278000,71530745.4138268
"674",469000,1278000,595709626.396706
"675",477000,1278000,844621400.427655
"676",485000,1278000,661273044.326805
"677",493000,1278000,1417299526.35971
"678",501000,1278000,876340429.132576
"679",509000,1278000,300370436.644046
"700",-19000,1270000,251176318.496405
"701",21000,1270000,219960752.178381
"702",29000,1270000,125932837.092275
"703",45000,1270000,133758919.150465
"704",53000,1270000,31175834.619476
"705",61000,1270000,549844126.042578
"706",69000,1270000,786627772.580436
"707",77000,1270000,670656420.594841
"708",85000,1270000,734673415.504466
"709",93000,1270000,133390934.965193
"710",109000,1270000,309430707.491249
"711",117000,1270000,472964558.351577
"712",125000,1270000,393645348.887491
"713",141000,1270000,361536639.218446
"714",149000,1270000,28297764.5468491
"715",157000,1270000,859237653.869197
"716",165000,1270000,142635994.001042
"717",173000,1270000,1257670092.16119
"718",181000,1270000,884194623.383403
"719",197000,1270000,464303737.522722
"720",205000,1270000,19556161.5688055
"721",213000,1270000,320887057.652741
"722",221000,1270000,996896490.702808
"723",229000,1270000,648511858.988122
"724",237000,1270000,178093541.200522
"725",253000,1270000,17117426.9009267
"726",261000,1270000,10775352.9235517
"727",269000,1270000,187962161.481866
"728",277000,1270000,434470958.608445
"729",285000,1270000,290114894.067268
"730",293000,1270000,93341680.6427898
"731",309000,1270000,1481410029.83578
"732",317000,1270000,92750640.8000218
"733",325000,1270000,33662614.1969884
"734",333000,1270000,607955634.562838
"735",341000,1270000,262295026.018253
"736",349000,1270000,17282472.8105307
"737",357000,1270000,966741929.784316
"738",365000,1270000,337661829.786004
"739",373000,1270000,699123455.004131
"740",381000,1270000,781364965.620977
"741",389000,1270000,946620274.88284
"742",397000,1270000,524634744.663714
"743",405000,1270000,456392117.008376
"744",413000,1270000,324675340.429797
"745",421000,1270000,198319509.314904
"746",429000,1270000,1499427037.48327
"747",437000,1270000,1078840163.61897
"748",445000,1270000,537083619.866305
"749",453000,1270000,654448143.131223
"750",461000,1270000,1328329607.19866
"751",469000,1270000,633720700.609397
"752",477000,1270000,705901682.61953
"753",485000,1270000,328990502.153847
"773",61000,1262000,294318180.59951
"774",69000,1262000,679111604.338954
"775",77000,1262000,521500333.241814
"776",85000,1262000,430956773.977304
"777",93000,1262000,1021717300.68119
"778",101000,1262000,568038328.210342
"779",109000,1262000,353544150.274982
"780",117000,1262000,660149661.646146
"781",125000,1262000,162561457.936895
"782",133000,1262000,674222565.775508
"783",157000,1262000,1070403270.88625
"784",165000,1262000,437910202.177322
"785",189000,1262000,538216258.926304
"786",197000,1262000,551996315.645978
"787",205000,1262000,200259511.864378
"788",213000,1262000,10086768.4436312
"789",221000,1262000,786680709.371352
"790",229000,1262000,79278740.1336407
"791",237000,1262000,674868405.514013
"792",245000,1262000,496424778.29322
"793",253000,1262000,203701126.093824
"794",261000,1262000,115290646.333201
"795",269000,1262000,269447298.132552
"796",277000,1262000,246836222.498498
"797",285000,1262000,190263121.032712
"798",293000,1262000,140683486.622203
"799",301000,1262000,322590431.477697
"800",309000,1262000,323476561.245696
"801",317000,1262000,571414983.589409
"802",325000,1262000,206803654.447784
"803",333000,1262000,57905975.5425022
"804",341000,1262000,440590602.054328
"805",349000,1262000,541849246.324306
"806",357000,1262000,595162685.769409
"807",365000,1262000,71357516.4670847
"808",373000,1262000,237476661.903349
"809",381000,1262000,131428457.042637
"810",389000,1262000,187735186.193137
"811",397000,1262000,515004484.006409
"812",405000,1262000,685937404.366781
"813",413000,1262000,404407777.956043
"814",421000,1262000,301020898.715491
"815",429000,1262000,482184277.114728
"816",437000,1262000,1031608433.67166
"817",445000,1262000,801393236.77488
"818",453000,1262000,564962990.46081
"835",13000,1254000,285064160.108398
"836",53000,1254000,292443450.419395
"837",61000,1254000,360201261.946129
"838",69000,1254000,761302984.051901
"839",77000,1254000,63699370.1200214
"840",85000,1254000,928553660.086274
"841",93000,1254000,352816863.782935
"842",101000,1254000,561328636.081489
"843",109000,1254000,776064750.029557
"844",117000,1254000,566390759.269479
"845",125000,1254000,940318237.011661
"846",133000,1254000,417548831.56599
"847",141000,1254000,596258429.615421
"848",149000,1254000,2071955769.25087
"849",157000,1254000,1329954148.88065
"850",165000,1254000,784504702.887873
"851",173000,1254000,581358745.085973
"852",181000,1254000,385251081.307937
"853",189000,1254000,367767705.324064
"854",197000,1254000,584898924.831464
"855",205000,1254000,287214776.717586
"856",213000,1254000,225145623.461009
"857",221000,1254000,699035344.335662
"858",229000,1254000,466858679.581055
"859",237000,1254000,741359081.830402
"860",245000,1254000,697522883.213328
"861",253000,1254000,949840028.019699
"862",261000,1254000,159949433.89058
"863",269000,1254000,56629452.2408653
"864",277000,1254000,289591144.776426
"865",285000,1254000,427878536.817747
"866",293000,1254000,1623416435.82001
"867",301000,1254000,235254651.645374
"868",309000,1254000,229664133.016117
"869",317000,1254000,229488560.026057
"870",325000,1254000,278365037.366904
"871",333000,1254000,284997128.13992
"872",341000,1254000,296216059.0255
"873",349000,1254000,194724973.285969
"874",357000,1254000,551367354.583115
"875",365000,1254000,97503267.1571
"876",373000,1254000,339784586.736088
"877",381000,1254000,321514265.112867
"878",389000,1254000,131339686.296643
"879",397000,1254000,585993913.266028
"880",405000,1254000,662980465.703641
"881",413000,1254000,341593712.343422
"882",421000,1254000,275206348.143102
"883",429000,1254000,458982545.656515
"884",445000,1254000,451703859.499109
"902",-27000,1246000,263827565.214777
"903",45000,1246000,523415640.38336
"904",53000,1246000,213982011.407743
"905",61000,1246000,457344179.500312
"906",69000,1246000,429022422.650229
"907",77000,1246000,988317785.944204
"908",85000,1246000,141027775.074047
"909",93000,1246000,1121792989.43512
