Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14
WCR,189,2200,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,189,2230,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,189,2300,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,189,2330,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,30,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,100,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,130,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,200,0.303,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,230,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,300,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,330,NaN,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,400,NaN,0,NaN,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,430,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,0,NaN,NaN
WCR,190,500,NaN,0,0,0,0,0,0,0,0,0,0,NaN,0,0,0,0
WCR,190,530,0.327,304.52,0,0,0.0012825,0.00037016,0,0.00017398,0.00059151,0.00066002,0,NaN,0,0.0035347,0.00040344,0.0010811
