Site,DOY,HHMM,VPD,PAR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14
WCR,206,1500,1.957,1344.5,0.33587,NaN,0.38315,0.31174,0.42592,0.27947,0.22872,0.4262,0.073603,0.070572,0.50235,0.47368,0.41467,0.41834
WCR,206,1530,1.9,1223.6,0.32651,NaN,0.39066,0.29885,0.40887,0.27295,0.23079,0.41149,0.071978,0.068685,0.4802,0.44665,0.41132,0.40934
WCR,206,1600,2.03,1059.2,0.33915,NaN,0.42913,0.30926,0.43888,0.29178,0.24679,0.43394,0.073359,0.069055,0.52489,0.45574,0.43049,0.46595
WCR,206,1630,1.824,899.93,0.33067,NaN,0.3915,0.29472,0.42771,0.28157,0.23291,0.38083,0.07174,0.065409,0.44369,0.4262,0.4207,0.39987
WCR,206,1700,1.584,718.91,0.32307,NaN,0.39581,0.29924,0.42546,0.28197,0.23543,0.34893,0.070703,0.065535,0.41967,0.43149,0.41882,0.40974
WCR,206,1730,1.423,482.66,0.31763,NaN,0.38006,0.28679,0.40757,0.2672,0.23216,0.30264,0.068608,0.062238,0.39002,0.41454,0.40583,0.3516
WCR,206,1800,1.091,318.74,0.29857,0.30577,0.3454,0.27,0.39806,0.25044,0.19633,0.24451,0.069492,0.063544,0.36233,0.39082,0.38775,0.31128
WCR,206,1830,1.034,207.51,0.28416,0.28551,0.3105,0.24626,0.36294,0.22061,0.17004,0.20809,0.06885,0.060253,0.28667,0.33305,0.34435,0.31687
WCR,206,1900,0.814,58.607,0.24169,0.23865,0.21728,0.20993,0.28849,0.18153,0.15501,0.15054,0.06547,0.056767,0.1972,0.25869,0.27421,0.22895
WCR,206,1930,0.673,0,0.20185,0.19791,0.1363,0.15567,0.22376,0.14693,0.12639,0.10471,0.057611,0.050056,0.12879,0.1826,0.21264,0.13686
WCR,206,2000,0.664,0,0.17037,0.16735,0.091344,0.11134,0.16937,0.11555,0.072532,0.074777,0.049695,0.044625,0.088638,0.12199,0.16457,0.089988
WCR,206,2030,0.643,0,0.11578,0.11491,0.05343,0.066295,0.10443,0.073727,0.032398,0.043608,0.038421,0.034461,0.051146,0.06592,0.10187,0.055923
WCR,206,2100,0.618,0,0.078202,0.074081,0.027086,0.041158,0.063514,0.041343,0.016339,0.024986,0.027087,0.023597,0.024532,0.032163,0.063668,0.031911
WCR,206,2130,0.541,0,0.0513,0.048789,0.010889,0.021554,0.043204,0.025838,0.0012916,0.0098085,0.01882,0.015982,0.0098938,0.013033,0.039966,0.016466
WCR,206,2200,0.539,0,0.03734,0.035745,0.0014247,0.012571,0.030891,0.015822,0,0,0.012996,0.0096903,0,0.0030032,0.026209,0.003755
WCR,206,2230,0.516,0,0.028482,0.02751,0,0.0071276,0.022785,0.010775,0,0,0.0090784,0.0074737,0,0,0.018288,0
WCR,206,2300,0.583,0,0.03459,0.021511,0,0.0038579,0.016865,0.0076666,0,0,0.0066426,0.0057275,0,0,0.011617,0
WCR,206,2330,0.566,0,0.033617,0.016545,0,0.0012114,0.011982,0.0055267,0,0,0.0043152,0.0052495,0,0,0.0081741,0
WCR,207,0,NaN,0,NaN,0.012361,0,0.00029343,0.0078109,0.0037051,0,0,0.0032984,0.0032624,0,0,0.0036218,0
WCR,207,30,NaN,0,NaN,0.010001,0,0,0.0060453,0.0024679,0,0,0.0018032,0.0025582,0,0,0.0010576,0
WCR,207,100,NaN,0,NaN,0.0081694,0,0,0.0042874,0.00067284,0,0,0.00098586,0.00095869,0,0,0.0019915,0
WCR,207,130,0.34,0,NaN,0.0063881,0,0,0.0022836,0,0,0,0,8.65E-05,0,0,0.0014322,0
WCR,207,200,0.346,0,NaN,0.0043471,0,0,0.0020873,0,0,0,0,0.00078258,0,0,0.00068515,0
WCR,207,230,0.398,0,0.0047521,0.00087219,0,0,0,3.05E-05,0,0,0,0.00011739,0,0,0,0
WCR,207,300,0.457,0,0.00028548,0,0,0,0,0.00087936,0,0,0,0.00099245,0,0,0,0
WCR,207,330,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCR,207,400,0.49,0,1.08E-06,0,0,0,0,0,0,0,0,0,0,0,0,0
WCR,207,430,0.414,0,0.00077947,0,0,0,0,0,0,0,0,0,0,0,0,0
WCR,207,500,NaN,0,0,0,0,0,0,0,0,0,0,0.00026054,0,0,0,0
WCR,207,530,NaN,0,0.0044709,0,0,0,0,0,0,0,0.00019147,0,0,0,0,0
WCR,207,600,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCR,207,630,0.31,486.07,0.0044785,0.0032752,0.0018487,0,0.0015783,0.00047513,0.0021404,0.0007036,0.00062441,0.00024801,0,0.0021508,0.004378,0
WCR,207,700,0.285,522,0.0084453,0.0040857,0.0026341,0.0019848,0.0021112,0,0.0027,0.0018882,0.0013934,0,0,0.0012582,0.0054031,0.001564
WCR,207,730,0.494,920.98,0.013146,0.023929,0.012504,0.0030468,0.0074525,0.008553,0.0061627,0.0055082,0.0032182,0.0040519,0.003757,0.00614,0.010723,0.012943
WCR,207,800,0.655,1127.7,0.042496,0.066533,0.033892,0.010819,0.032246,0.041372,0.023493,0.0099607,0.010106,0.016966,0.0082989,0.014949,0.036969,0.053966
WCR,207,830,0.911,1265.2,0.075826,0.10988,0.097612,0.038046,0.076063,0.090498,0.062559,0.025862,0.020731,0.028289,0.029175,0.040436,0.084183,0.13353
WCR,207,900,1.087,1408.5,0.17295,0.23241,0.25413,0.10447,0.19827,0.18293,0.14902,NaN,0.042633,0.04739,0.092157,0.11117,0.19386,0.30394
WCR,207,930,1.193,1565.7,0.27795,0.33273,0.43336,0.21572,0.33053,0.24681,0.23753,NaN,0.063193,0.06105,0.30261,0.27525,0.32663,0.48322
WCR,207,1000,1.198,1054.7,0.29275,0.3519,0.38113,0.24477,0.37523,0.26273,0.26455,0.39658,0.072161,0.065332,0.44493,0.38293,0.36734,0.44026
WCR,207,1030,1.088,1081.8,0.3265,0.37367,0.41904,0.28362,0.41337,0.27965,0.2955,0.47923,0.076708,0.066351,0.53836,0.44181,0.40931,0.47499
WCR,207,1100,NaN,1000,0.34003,0.39542,0.43718,0.29424,0.45188,0.29347,0.30586,0.48338,0.080452,0.066598,0.56907,0.48886,0.4327,0.46947
WCR,207,1130,1.27,1449.2,0.31582,0.35881,0.38683,0.28223,0.40472,0.27035,0.27243,0.41051,0.078492,0.067508,0.5211,0.43172,0.39583,0.42858
WCR,207,1200,1.37,1269.3,0.32612,0.36791,0.41709,0.29796,0.426,0.28325,0.29178,0.41906,0.07957,0.067931,0.5057,0.45764,0.42053,0.47268
WCR,207,1230,1.451,1429.9,0.31186,0.34547,0.39676,0.28397,0.4105,0.27453,0.27596,0.4112,0.07707,0.066739,0.49234,0.42721,0.40391,0.43996
WCR,207,1300,1.428,1311.9,0.35872,0.39541,0.45505,0.325,0.4675,0.30473,0.29953,0.52385,0.077888,0.068987,0.61371,0.49016,0.45268,0.52481
WCR,207,1330,1.57,1668.6,0.3547,0.39615,0.40589,0.3201,0.45072,0.29846,0.28185,0.5053,0.078289,0.070226,0.64908,0.46157,0.43959,0.45728
WCR,207,1400,1.594,1649.3,0.34703,0.38967,0.41396,0.31599,0.43323,0.29621,0.2834,0.46653,0.081915,0.071622,0.5397,0.46374,0.4362,0.47989
WCR,207,1430,1.761,1561.8,0.34607,0.38211,0.41666,0.31415,0.42513,0.28973,0.27047,0.46204,0.082064,0.071876,0.522,0.46268,0.42706,0.48209
WCR,207,1500,1.897,1397.1,0.37844,0.40128,0.44026,0.32804,0.46347,0.31243,0.27713,0.47739,0.082179,0.071824,0.55227,0.5247,0.46577,0.49427
WCR,207,1530,1.706,1212.5,0.36272,0.40202,0.4293,0.3214,0.44952,0.30596,0.26795,0.50804,0.082535,0.071338,0.57352,0.49171,0.46136,0.49261
WCR,207,1600,1.636,1022.8,0.36687,0.40495,0.43511,0.32316,0.45757,0.30441,0.27537,0.50968,0.083171,0.073496,0.56828,0.46983,0.45404,0.49956
WCR,207,1630,1.534,866.32,0.3526,0.37952,0.40968,0.30291,0.4404,0.29366,0.25481,0.41114,0.08074,0.071186,0.48112,0.45485,0.44448,0.45238
WCR,207,1700,1.386,694.99,0.34616,0.37352,0.39809,0.30934,0.43579,0.29057,0.24639,0.37158,0.078263,0.068863,0.45488,0.44664,0.4368,0.43439
WCR,207,1730,1.327,490.14,0.32968,0.34708,0.39047,0.29348,0.41145,0.27043,0.23289,0.3313,0.075652,0.069066,0.42064,0.43093,0.41571,0.37884
WCR,207,1800,1.169,326.19,0.31447,0.32383,0.33612,0.26735,0.39487,0.24631,0.20374,0.25225,0.073118,0.066789,0.36925,0.39329,0.39054,0.31739
WCR,207,1830,NaN,1000,0.2879,0.29526,0.31941,0.25485,0.36225,0.2206,0.18245,0.22085,0.073194,0.064638,0.28588,0.34151,0.35372,0.32042
WCR,207,1900,0.674,53.592,0.25338,0.25865,0.23677,0.22661,0.29999,0.19257,0.16954,0.1695,0.071056,0.061951,0.2031,0.27478,0.29588,0.26438
WCR,207,1930,0.46,0,0.21244,0.21697,0.15596,0.1625,0.22781,0.15485,0.14498,0.12798,0.065249,0.056322,0.14098,0.20291,0.22555,0.17508
WCR,207,2000,0.515,0,0.15793,0.16071,0.098599,0.10562,0.15032,0.10526,0.079178,0.094005,0.054617,0.047428,0.09611,0.12457,0.15701,0.1102
WCR,207,2030,0.532,0,0.11719,0.11761,0.061533,0.062588,0.097719,0.067694,0.049116,0.068315,0.042535,0.038428,0.0628,0.06955,0.10325,0.071003
WCR,207,2100,0.54,0,0.086899,0.089415,0.036398,0.038402,0.066508,0.043018,0.025907,0.047063,0.031536,0.029211,0.042086,0.035443,0.06693,0.043784
WCR,207,2130,0.516,0,0.063249,0.06571,0.022013,0.02429,0.047649,0.027862,0.0089892,0.031797,0.024149,0.021138,0.027807,0.015703,0.043466,0.02599
WCR,207,2200,0.481,0,0.067154,0.049069,0.0080451,0.014549,0.033111,0.017555,0.001632,0.018414,0.018088,0.014212,0.011522,0.0030343,0.0283,0.010138
WCR,207,2230,0.558,0,NaN,0.038446,0,0.0088571,0.023057,0.011704,0,0.0059106,0.013514,0.010146,0,0,0.01841,0
WCR,207,2300,NaN,0,NaN,0.032655,0,0.0041746,0.016004,0.0064254,0,0,0.0095383,0.0063603,0,0,0.016473,0
WCR,207,2330,0.523,0,NaN,0.025983,0,0.0022111,0.012048,0.005308,0,0,0.0074763,0.0057451,0,0,0.011792,0
WCR,208,0,0.525,0,NaN,0.021362,0,0.00044172,0.008509,0.00401,0,0,0.0056314,0.0045266,0,0,0.0085822,0
WCR,208,30,0.528,0,NaN,0.017621,0,0,0.0057026,0.0022668,0,0,0.0043658,0.0037343,0,0,0.0057178,0
WCR,208,100,0.454,0,0.077695,0.014443,0,0,0.002822,0.0017151,0,0,0.0033792,0.0013909,0,0,0.002393,0
WCR,208,130,NaN,0,0.011191,0.011271,0,0,0.0010806,0.00047298,0,0,0.0022963,0.0011922,0,0,0,0
WCR,208,200,0.555,0,0.012247,0.011128,0,0,0,0,0,0,0.0013969,0.00030442,0,0,0.0017051,0
WCR,208,230,0.542,0,0.0094024,0.0089822,0,0,0,0,0,0,0.0011195,NaN,0,0,0.00084558,0
WCR,208,300,0.521,0,0.010198,0.010132,0,0,0,0,0,0,0.0014069,NaN,0,0,0.0022708,0
WCR,208,330,NaN,0,0.00058548,0.0043437,0,0,0,0,0,0,0.00086637,0.00019177,0,0,0.0005626,0
WCR,208,400,0.584,0,0,0.0029047,0,0,0,3.30E-05,0,0,0.0008357,0.00025768,0,0,0,0
WCR,208,430,0.541,0,0.00061746,0.0034028,0,0,0,0,0,0,0.0006953,0,0,0,0,0
WCR,208,500,0.541,67.584,0,0.0024268,0.0025488,0,0,0,0,0,0,0,0,0,0,0
WCR,208,530,0.537,237.94,0,0.00046236,0.0035828,0,0,0,0,0,0,0.00018202,0,0,0,0
WCR,208,600,NaN,0,0,0,0.0083405,0,0,0,0,0,0,0,0,0,0,0
WCR,208,630,NaN,0,0,0.0083348,0.012684,0,0,0,0,0,0,0,NaN,0,0,0
WCR,208,700,0.577,759.8,0.028147,0.05992,0.032946,0.0068237,0.016155,0.016442,0.015707,0.0026905,0.0031107,0.0036782,NaN,0.0062265,0.018516,0.01784
WCR,208,730,0.657,941.8,0.043615,0.087209,0.049446,0.011209,0.024156,0.039396,0.022827,0.0083283,0.0077838,0.012374,NaN,0.0076336,0.029118,0.054248
WCR,208,800,0.712,1112.5,0.093592,0.16507,0.097876,0.030417,0.075712,0.10964,0.043897,0.026938,0.018862,0.025857,0.024764,0.023508,0.078043,0.15419
WCR,208,830,0.863,1272.2,0.14959,0.22967,0.19387,0.069554,0.15516,0.17284,0.091979,0.063966,0.034833,0.040258,0.059841,0.059092,0.15533,0.27715
WCR,208,900,1.08,1413.1,0.21452,0.28764,0.35016,0.14081,0.25726,0.21632,0.19707,0.17084,0.049902,0.052192,0.15787,0.14043,0.25429,0.39858
WCR,208,930,1.244,1542.4,0.26301,0.33409,0.40458,0.21061,0.33728,0.24574,0.21891,0.27129,0.061918,0.060775,0.26204,0.26191,0.33583,0.43373
WCR,208,1000,1.467,1647.7,0.30814,0.37601,0.41272,0.25952,0.39011,0.26723,0.28021,0.45238,0.070991,0.065879,0.49409,0.40135,0.39205,0.47956
WCR,208,1030,1.636,1736.8,0.33551,0.39183,0.41488,0.28373,0.42304,0.28169,0.31046,0.5081,0.075348,0.066804,0.56928,0.45347,0.42084,0.46931
WCR,208,1100,1.816,1793.9,0.35573,0.41092,0.44338,0.29459,0.45701,0.29165,0.30993,0.51507,0.079886,0.06697,0.62477,0.5009,0.44164,0.45906
WCR,208,1130,1.823,1839.6,0.36597,0.40934,0.46665,0.3066,0.46905,0.30906,0.31009,0.51704,0.081516,0.067886,0.65288,0.51037,0.46051,0.49884
WCR,208,1200,2.119,1851.3,0.37444,0.4191,0.46596,0.32129,0.47628,0.31184,0.30189,0.55359,0.083024,0.067527,0.66723,0.50622,0.46609,0.5191
WCR,208,1230,2.153,1836.7,0.37744,0.43021,0.45883,0.33452,0.47772,0.31416,0.2978,0.60148,0.081325,0.069954,0.69092,0.49792,0.46936,0.53253
WCR,208,1300,2.266,1789.2,0.41062,0.43817,0.43868,0.33948,0.47719,0.30943,0.30012,0.62677,0.082389,0.074737,0.61357,0.51267,0.47467,0.51294
WCR,208,1330,2.273,1720.7,0.38427,0.44038,0.41856,0.33389,0.47806,0.30829,0.3009,0.54539,0.080341,0.075255,0.54295,0.50099,0.49545,0.48886
WCR,208,1400,2.285,1628.6,0.37623,0.43947,0.42599,0.33808,0.47704,0.3093,0.29843,0.50404,0.079683,0.073036,0.47697,0.50493,0.47495,0.50786
WCR,208,1430,2.188,1525.4,0.37583,0.43092,0.42243,0.33068,0.47354,0.30721,0.27276,0.47597,0.079421,0.074053,0.50831,0.49467,0.4741,0.48738
WCR,208,1500,2.171,1390.2,0.37183,0.4304,0.43298,0.32748,0.46469,0.3057,0.26772,0.47119,0.080517,0.075173,0.52407,NaN,0.47513,0.47038
WCR,208,1530,1.918,1236.5,0.37033,0.4185,0.41988,0.31857,0.45699,0.30323,0.26633,0.43464,0.07987,0.072943,0.51329,NaN,0.46803,0.48273
WCR,208,1600,1.987,1073.4,0.36388,0.41204,0.4205,0.31053,0.4544,0.29983,0.26419,0.44905,0.079689,0.073603,0.50995,0.45988,0.46062,0.48878
WCR,208,1630,1.782,850.38,0.35938,0.39598,0.39958,0.30979,0.44821,0.29871,0.26194,0.41634,0.079508,0.073777,0.4695,0.45261,0.45362,0.44492
WCR,208,1700,1.645,658.02,0.35159,0.37779,0.38573,0.29861,0.43769,0.29628,0.24782,0.3586,0.077858,0.073303,0.41568,0.44022,0.44552,0.41362
WCR,208,1730,1.486,525.75,0.34022,0.36019,0.3812,0.28734,0.4212,0.27855,0.24001,0.30989,0.075846,0.070677,0.37434,0.4312,0.43018,0.37475
WCR,208,1800,1.319,329.58,0.31989,0.32839,0.3312,0.26698,0.40205,0.25574,0.21041,0.23972,0.072673,0.068455,0.33341,0.38413,0.40357,0.30757
WCR,208,1830,1.121,174.57,0.29514,0.30732,0.31391,0.26014,0.37065,0.23288,0.18209,0.21357,0.073412,0.064927,0.27645,0.33785,0.36799,0.31644
WCR,208,1900,0.791,56.748,0.26139,0.2675,0.23821,0.22332,0.32059,0.20833,0.18089,0.16638,0.070959,0.063424,0.18282,0.27726,0.31583,0.2564
WCR,208,1930,0.631,0,0.21417,0.22141,0.15432,0.15897,0.24268,0.16906,0.14806,0.13228,0.0656,0.057959,0.12854,0.20014,0.24003,0.17368
WCR,208,2000,0.636,0,0.1636,0.16366,0.098314,0.10274,0.16235,0.11848,0.090015,0.099658,0.065491,0.048894,0.087558,0.12036,0.16785,0.11334
WCR,208,2030,0.582,0,0.11861,0.11827,0.058753,0.059023,0.10154,0.074892,0.061147,0.072299,0.041545,0.038856,0.047982,0.066517,0.11222,0.075161
WCR,208,2100,0.533,0,0.084205,0.084664,0.032534,0.034322,0.065251,0.047381,0.040381,0.052214,0.03024,0.029331,0.027693,0.035014,0.075436,0.052827
WCR,208,2130,0.482,0,0.065471,0.064076,0.014807,0.020296,0.043598,0.030827,0.028738,0.037334,0.021742,0.021762,0.0094239,0.016241,0.052693,0.032354
WCR,208,2200,0.432,0,0.051733,0.051214,0.0021769,0.011583,0.030664,0.021847,0.022096,0.02435,0.016112,0.016547,0,0.0058263,0.039079,0.019239
WCR,208,2230,0.351,0,0.043737,0.042987,0,0.0067517,0.022134,0.016463,0.016651,0.015031,0.011892,0.012374,0,0,0.030081,0.0095499
WCR,208,2300,0.306,0,0.037196,0.036337,0,0.0037944,0.015967,0.011683,0.015137,0.009255,0.0088082,0.0099462,0,0,0.024354,0.0020174
WCR,208,2330,0.283,0,0.032432,0.030694,0,0.001787,0.011359,0.0085233,0.012672,0.0051775,0.0065209,0.0069447,0,0,0.020306,0
WCR,209,0,0.269,0,0.028561,0.025998,0,0.00079463,0.0078527,0.0072538,0.011547,0.0030819,0.004484,0.0056447,0,0,0.016647,0
WCR,209,30,0.221,0,0.025237,0.022424,0,0.00026735,0.0055969,0.0062943,0.0095584,0.0010038,0.0033117,0.0042284,0,0,0.014269,0
WCR,209,100,0.163,0,0.046598,0.019655,0,0,0.003078,0.0049467,0.0095171,0.0002306,0.0021924,0.002921,0,0,0.012282,0
WCR,209,130,0.157,0,0.020957,0.018417,0,0,0.001461,0.0033403,0.011633,0,0.0015325,0.0015413,0,0,0.011797,0
WCR,209,200,0.115,0,0.018854,0.016692,0,0,0.0007329,0.0034126,0.0096413,0.0011911,0.0017867,0.0020948,0,0,0.012208,0
WCR,209,230,0.158,0,0.01639,0.015003,0,0,2.41E-05,0.0034672,0.010985,0.0034462,0.0021902,0.0018447,0,0,0.01191,0
WCR,209,300,0.165,0,0.015569,0.013793,0,0,0,0.0035165,0.014497,0.0054076,0.001266,0.0016452,0.00024796,0,0.011359,0
WCR,209,330,0.142,0,0.013174,0.012938,0,0,0,0.0040098,0.015305,0.0071739,0.0016076,0.0013258,0.0039526,0.0023531,0.011911,0
WCR,209,400,0.112,0,0.012843,0.012496,0.00090668,0,0,0.0039102,0.018382,0.0088039,0.0016475,0.0018991,0.0057765,0.0042921,0.011919,0
WCR,209,430,0.071,0,0.015116,0.011596,8.06E-05,0,0,0.0029355,0.01583,0.0095487,0.001318,0.0008092,0.0069956,0.0031598,0.012052,0
WCR,209,500,0.066,127.02,0.018735,0.010491,0.0015643,0,3.87E-05,0.0034599,0.014533,0.011033,0.0019555,0.0010846,0.011297,0.0047762,0.012987,0.00022492
WCR,209,530,0.092,181.99,0.053547,0.0093609,0.0019318,0,0,0.0042567,0.013774,0.012096,0.0028503,0.0020083,0.014321,0.0058319,0.013124,0.00064038
WCR,209,600,0.132,292.23,0.012087,0.0078851,0.0019288,0,0,0.0045833,0.015907,0.013144,0.0029663,0.0019917,0.01556,0.0061091,0.012672,0.0013929
WCR,209,630,0.175,382.92,0.017257,0.0078488,0.0032356,0,0.00056188,0.0045887,0.018459,0.014079,0.002772,0.00301,0.015256,0.0068979,0.01328,0.0022249
WCR,209,700,0.251,462.62,0.01868,0.010135,0.0074335,0.0005286,0.0041302,0.0055222,0.020134,0.01433,0.003023,0.0031636,0.0162,0.0089059,0.015287,0.0050886
WCR,209,730,0.226,318.73,0.033233,0.021104,0.022938,0.0044225,0.013869,0.011565,0.025601,0.017386,0.0042226,0.0062745,0.019491,0.012818,0.02251,0.02038
WCR,209,800,0.218,234.93,0.067305,0.044973,0.062508,0.0159,0.037601,0.031176,0.040327,0.02296,0.0079693,0.012548,0.027571,0.0224,0.042603,0.067505
WCR,209,830,0.223,318.24,0.099965,0.084735,0.15764,0.051198,0.095092,0.075644,0.081974,0.039307,0.016218,0.024102,0.048128,0.057141,0.093205,0.15978
WCR,209,900,0.273,386.86,0.12094,0.10341,0.20675,0.074786,0.12293,0.097207,0.10411,0.063109,0.023301,0.031995,0.075878,0.095842,0.12131,0.20372
WCR,209,930,0.312,223.6,0.12871,0.096496,0.17382,0.063014,0.10636,0.083737,0.08972,0.071408,0.024158,0.033136,0.078637,0.090043,0.11069,0.16895
WCR,209,1000,0.36,371.43,0.11404,0.097634,0.15489,0.062793,0.1162,0.080974,0.093054,0.07586,0.025869,0.035496,0.080977,0.09401,0.12114,0.15541
WCR,209,1030,0.353,728.18,0.14915,0.11867,0.19712,0.089488,0.15992,0.10434,0.13928,0.090673,0.030613,0.040994,0.10495,0.13985,0.16163,0.19752
WCR,209,1100,0.368,667.68,0.15729,0.13613,0.20086,0.090431,0.14866,0.10241,0.14265,0.10427,0.034453,0.044415,0.12412,0.14593,0.15324,0.21377
WCR,209,1130,0.437,816.16,0.15989,0.15365,0.21311,0.10385,0.16983,0.10842,0.14692,0.11845,0.038427,0.047146,0.14361,0.16321,0.17396,0.22586
WCR,209,1200,0.491,1107.5,0.19028,0.19978,0.32151,0.15625,0.25365,0.16398,0.24233,0.15631,0.045856,0.053431,0.19334,0.25608,0.25413,0.33878
WCR,209,1230,0.654,1641.2,0.22173,0.23272,0.35098,0.17374,0.26153,0.18596,0.25802,0.2274,0.053878,0.059614,0.27511,0.2888,0.26565,0.3974
WCR,209,1300,0.977,1579.1,0.24712,0.26115,0.34091,0.18561,0.29223,0.20411,0.26392,0.26536,0.06021,0.062517,0.31999,0.30711,0.29623,0.37635
WCR,209,1330,0.81,1031.5,0.29212,0.31098,0.39138,0.23437,0.356,0.24045,0.30093,0.35007,0.070095,0.068407,0.41029,0.37206,0.35332,0.45315
WCR,209,1400,0.843,888.38,0.35507,0.38657,0.43754,0.30789,0.44556,0.2956,0.31921,0.49046,0.079445,0.075114,NaN,0.4572,0.43833,0.52288
WCR,209,1430,0.904,903.95,0.36301,0.39983,0.43217,0.31196,0.44234,0.3018,0.31302,0.49298,0.083364,0.076442,NaN,0.47044,0.45975,0.50227
WCR,209,1500,0.896,1131.8,0.33259,0.3689,0.40069,0.28816,0.4005,0.27862,0.29963,0.37899,0.08055,0.074389,NaN,0.43279,0.42095,0.4509
WCR,209,1530,0.938,1257.3,0.3282,0.36519,0.38201,0.2813,0.38729,0.27326,0.28361,0.35121,0.07881,0.070957,0.42103,0.41098,0.40648,0.42773
WCR,209,1600,0.956,1108.8,0.32408,0.35545,0.39009,0.28347,0.37444,0.26443,0.28488,0.36618,0.077849,0.07149,0.44651,0.40787,0.38962,0.44143
WCR,209,1630,0.886,970.45,0.33452,0.36351,0.40615,0.29158,0.40344,0.2835,0.29412,0.37174,0.076478,0.069852,0.4498,0.42277,0.42268,0.4468
WCR,209,1700,0.857,662.94,0.34869,0.37809,0.40002,0.29825,0.39361,0.29223,0.27942,0.39832,0.07899,0.070259,0.47915,0.42639,0.42666,0.46922
WCR,209,1730,0.653,207.65,0.33643,0.35305,0.39192,0.28893,0.37847,0.26679,0.26974,0.35655,0.076451,0.070425,0.43603,0.41696,0.41372,0.39193
WCR,209,1800,0.577,162.29,0.3243,0.33598,0.36158,0.2731,0.3587,0.24841,0.25281,0.3132,0.0756,0.07028,0.40612,0.3814,0.38701,0.38312
WCR,209,1830,0.53,61.088,0.28575,0.29434,0.31302,0.24916,0.30359,0.20802,0.2006,0.24437,0.073074,0.067036,0.30705,0.31207,0.32717,0.31406
WCR,209,1900,0.492,22.537,0.19209,0.19925,0.21491,0.1784,0.18219,0.13892,0.14179,0.17156,0.061369,0.056327,0.19365,0.20656,0.21778,0.213
WCR,209,1930,0.459,0,0.13529,0.13943,0.13393,0.12163,0.12471,0.096763,0.10688,0.12182,0.048735,0.04534,0.11727,0.14031,0.15872,0.13492
WCR,209,2000,0.389,0,0.10347,0.10376,0.088101,0.083327,0.08634,NaN,0.081373,0.092732,0.037493,0.035995,0.079136,0.092704,0.11624,0.09011
WCR,209,2030,0.326,0,0.07991,0.079564,0.059711,0.051073,0.055559,NaN,0.06398,0.072939,0.028146,0.027563,0.058225,0.05704,0.081864,0.063256
WCR,209,2100,0.261,0,0.064788,0.065075,0.042012,0.031706,0.038408,0.030441,0.050799,0.058048,0.02183,0.021674,0.044872,0.03807,0.062339,0.046527
WCR,209,2130,0.231,0,0.055137,0.05424,0.027384,0.020238,0.028438,0.022596,0.048317,0.047992,0.016368,0.017329,0.034419,0.026282,0.050898,0.034474
WCR,209,2200,0.227,0,0.047732,0.046885,0.017918,0.013222,0.022473,0.018232,0.043577,0.040927,0.013794,0.014026,0.027823,0.02006,0.043258,0.024719
WCR,209,2230,0.225,0,0.042304,0.04162,0.010659,0.010315,0.01912,0.015515,0.041797,0.035941,0.010951,0.0115,0.023875,0.015224,0.038037,0.018414
WCR,209,2300,0.2,0,0.039082,0.038058,0.0054598,0.007778,0.016935,0.013663,0.040384,0.031661,0.0091722,0.0098136,0.020808,0.012475,0.033849,0.013425
WCR,209,2330,0.16,0,0.037361,0.036324,0.0043104,0.0069972,0.017349,0.012537,0.038221,0.028933,0.0078759,0.0093116,0.018303,0.011454,0.030439,0.0097624
WCR,210,0,0.17,0,0.036837,0.037882,0.0045428,0.0069629,0.019194,0.011663,0.036961,0.027246,0.0072763,0.0083645,0.017546,0.011364,0.029006,0.0095172
WCR,210,30,0.356,0,0.037846,0.042957,0.0065673,0.0072967,0.022071,0.011522,0.037143,0.027366,0.0066391,0.010605,0.019016,0.011632,0.028383,0.010984
WCR,210,100,0.773,0,0.038973,0.044063,0.0085248,0.0080377,0.025288,0.011799,0.037232,0.028463,0.0067162,0.012022,0.021506,0.013969,0.029283,0.014081
WCR,210,130,0.809,0,0.037569,0.041856,0.010132,0.0070013,0.027383,0.011787,0.034705,0.027188,0.0071177,0.011866,0.025577,0.015101,0.029255,0.017406
WCR,210,200,0.715,0,0.03128,0.029566,0.012947,0,0.027201,0.0078707,0.019684,0.014949,0.0085153,0.0076229,0.034284,0.012919,0.023372,0.021589
WCR,210,230,0.629,0,0.022441,0.017953,0.015843,0,0.024689,0.005541,0.011625,0.0076469,0.0082096,0.0015371,0.034067,0.0092301,0.018163,0.026248
WCR,210,300,0.565,0,0.011366,0.0096782,0.015627,0,0.023327,0.0041407,0.0066454,0.00038784,0.0064565,0,0.029362,0.005157,0.013448,0.029642
WCR,210,330,0.498,0,0.0036038,0.0061955,0.012756,0,0.020889,0.0021775,0.0030186,0,0.0046188,0,0.020853,0,0.0054058,0.027598
WCR,210,400,0.45,0,0,0.004701,0.0071859,0,0.020149,0.0019574,0.0023823,0,0.0033173,0,0.013447,0,0,0.022924
WCR,210,430,0.375,0,0,0.0047173,0.0011655,0,0.018745,0,0,0,0.0024825,0,0.0067094,0,0,0.015202
WCR,210,500,0.354,92.7,0,0.0037913,0,0,0.019683,3.83E-05,0,0,0.0018156,0,0,0,0,0.010317
