TIMESTAMP,DecDOY,HH:MM,DOY,H,M,RECORD,C1,C2,C3,C4
7/28/16 18:30,210.771,18:30,210,18,30,72,0.2392777,0.001796579,0.01417301,0.1818537
7/28/16 18:35,210.774,18:35,210,18,35,73,0.2395461,0.002062758,0.01364082,0.1825208
7/28/16 18:40,210.778,18:40,210,18,40,74,0.240144,0.001996209,0.01330806,0.1829193
7/28/16 18:45,210.781,18:45,210,18,45,75,0.2414756,0.001929676,0.01364081,0.1833857
7/28/16 18:50,210.785,18:50,210,18,50,76,0.2426075,0.001996222,0.01384047,0.1837855
7/28/16 18:55,210.788,18:55,210,18,55,77,0.2434069,0.001996229,0.01417323,0.184385
7/28/16 19:00,210.792,19:00,210,19,0,78,0.2439408,0.001730076,0.01390716,0.1851182
7/28/16 19:05,210.795,19:05,210,19,5,79,0.2449393,0.001397372,0.01404026,0.1861166
7/28/16 19:10,210.799,19:10,210,19,10,80,0.2454059,0.001397377,0.0137076,0.1871819
7/28/16 19:15,210.802,19:15,210,19,15,81,0.2460722,0.001264298,0.01370765,0.1877149
7/28/16 19:20,210.806,19:20,210,19,20,82,0.2470046,0.000998133,0.01397386,0.1884475
7/28/16 19:25,210.809,19:25,210,19,25,83,0.2478041,0.000998137,0.01384083,0.1891137
7/28/16 19:30,210.813,19:30,210,19,30,84,0.2487365,0.00073197,0.01430667,0.1897132
7/28/16 19:35,210.816,19:35,210,19,35,85,0.249735,0.000399257,0.01483904,0.1899796
7/28/16 19:40,210.819,19:40,210,19,40,86,0.2509997,0.000332714,0.01490561,0.1906454
7/28/16 19:45,210.823,19:45,210,19,45,87,0.2516008,0.000399261,0.01443993,0.1911793
7/28/16 19:50,210.826,19:50,210,19,50,88,0.2525987,0.000332717,0.01404065,0.1919111
7/28/16 19:55,210.830,19:55,210,19,55,89,0.2541973,0.000332719,0.01417383,0.1929105
7/28/16 20:00,210.833,20:00,210,20,0,90,0.2551304,0.000199633,0.01404082,0.1937101
7/28/16 20:05,210.837,20:05,210,20,5,91,0.2561955,0.000266177,0.01430702,0.1949082
7/28/16 20:10,210.840,20:10,210,20,10,92,0.2579275,-4.31E-10,0.01483949,0.1955751
7/28/16 20:15,210.844,20:15,210,20,15,93,0.259195,-1.24E-09,0.01497275,0.1965756
7/28/16 20:20,210.847,20:20,210,20,20,94,0.2603281,-0.000199638,0.01517249,0.1978414
7/28/16 20:25,210.851,20:25,210,20,25,95,0.2612609,-0.000332732,0.01497293,0.1987074
7/28/16 20:30,210.854,20:30,210,20,30,96,0.2623924,-0.000332732,0.01523912,0.1999719
7/28/16 20:35,210.858,20:35,210,20,35,97,0.2635249,-0.00059892,0.01570502,0.200971
7/28/16 20:40,210.861,20:40,210,20,40,98,0.2650587,-0.00053238,0.01630414,0.2022378
