"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
29000,1454000,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.08,0,0,0,0,0,0,0
37000,1454000,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,1454000,1495,0,0,0,0,25.4,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,193.04,0,0,137.16,0,0,0,0
53000,1454000,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322.58,0,0,0,0
61000,1454000,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.78,0,441.96,0,0,0,0
69000,1454000,1498,0,30.48,0,0,0,0,0,38.1,0,0,0,12.7,0,0,0,0,0,0,0,0,0,406.4,30.48,0,236.22,0,0,0,0
77000,1454000,1499,0,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,287.02,68.58,0,307.34,0,0,0,0
85000,1454000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.94,83.82,0,688.34,0,0,0,0
93000,1454000,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24,33.02,0,342.9,0,0,0,0
101000,1454000,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.5,22.86,0,58.42,0,0,0,0
-19000,1446000,1783,0,25.4,0,0,0,0,0,0,0,0,81.28,0,0,0,0,0,0,0,55.88,0,0,0,0,0,0,0,0,0,0
-11000,1446000,1784,0,17.78,0,0,0,0,0,0,0,0,55.88,0,0,0,0,0,0,0,83.82,0,0,0,0,0,0,0,0,0,0
-3000,1446000,1785,0,0,0,0,0,0,0,0,0,0,96.52,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0
5000,1446000,1786,0,0,0,0,0,0,0,0,0,0,35.56,0,0,0,0,0,0,0,22.86,0,0,81.28,0,0,0,0,0,0,0
13000,1446000,1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.28,0,0,0,0,0,0,0
21000,1446000,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355.6,0,0,0,0,0,0,0
29000,1446000,1789,0,12.7,0,0,0,0,0,0,0,0,139.7,0,0,0,0,0,0,0,309.88,0,0,624.84,0,0,0,0,0,0,0
37000,1446000,1790,0,0,0,0,0,0,0,0,0,0,210.82,0,0,0,0,0,0,0,530.86,0,0,1267.46,0,0,0,0,0,0,0
45000,1446000,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.6,0,0,558.8,0,0,0,0,0,0,0
53000,1446000,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.12,0,0,769.62,0,0,0,0,0,0,0
