"","x","y","Transpiration"
"1",141000,1486000,16.2523581540775
"2",149000,1486000,125.849995393196
"3",141000,1478000,51.8511187667159
"4",149000,1478000,112.137122774583
"5",5000,1470000,0
"6",141000,1470000,43.9750357233979
"7",149000,1470000,48.0556789663865
"8",5000,1462000,4.55918144092145
"9",13000,1462000,16.6218905101793
"10",37000,1462000,1.95377403267123
"11",45000,1462000,9.58797793114663
"12",141000,1462000,59.277320305167
"13",13000,1454000,39.0587465666043
"14",21000,1454000,48.4616046582676
"15",29000,1454000,4.45380027161451
"16",37000,1454000,0
"17",53000,1454000,1.8719809976479
"18",77000,1454000,48.984900003811
"19",85000,1454000,32.9434384954706
"20",29000,1446000,34.9566574476073
"21",85000,1446000,13.6355890946043
"22",93000,1446000,42.7000044297822
"23",101000,1446000,115.456453289463
"24",109000,1446000,40.5298220046711
"25",13000,1438000,4.67278073409915
"26",21000,1438000,12.7625791681287
"27",29000,1438000,18.0348317055295
"28",45000,1438000,14.4950665190952
"29",77000,1438000,10.0819101226628
"30",117000,1438000,115.258745044858
"31",133000,1438000,172.488180557571
"32",149000,1438000,256.454501900967
"33",13000,1430000,2.36114174827349
"34",21000,1430000,6.78111881676472
"35",29000,1430000,27.6396285855941
"36",45000,1430000,1.65419932189165
"37",61000,1430000,2.35329908068435
"38",77000,1430000,4.04113170795319
"39",85000,1430000,28.2402120729279
"40",117000,1430000,36.1877776386424
"41",125000,1430000,132.275151738192
"42",141000,1430000,122.871825766499
"43",45000,1422000,11.217361659258
"44",69000,1422000,2.55217869318901
"45",109000,1422000,26.6605222336409
"46",117000,1422000,21.4109676251925
"47",125000,1422000,83.8193204089324
"48",133000,1422000,182.031017193604
"49",149000,1422000,85.2897587860177
"50",157000,1422000,77.372925043323
"51",165000,1422000,23.197726457797
"52",13000,1414000,0.257313426620818
"53",29000,1414000,5.03000842763494
"54",37000,1414000,0.269693053644261
"55",45000,1414000,9.18775169785907
"56",93000,1414000,138.426608689782
"57",101000,1414000,19.4213228009234
"58",109000,1414000,28.5623950651527
"59",117000,1414000,19.8747207079814
"60",125000,1414000,24.1383850657908
"61",133000,1414000,39.1922641132179
"62",141000,1414000,39.7475552040091
"63",149000,1414000,54.5955653928084
"64",157000,1414000,115.366788519305
"65",37000,1406000,4.04595898279782
"66",45000,1406000,17.7001146683438
"67",53000,1406000,25.2986040538356
"68",69000,1406000,97.8891826936665
"69",77000,1406000,93.4183804030461
"70",85000,1406000,145.986094267977
"71",93000,1406000,107.614904802432
"72",101000,1406000,62.363899124471
"73",109000,1406000,75.2326142410703
"74",117000,1406000,38.5408439648361
"75",125000,1406000,108.414789436967
"76",133000,1406000,97.1361542551298
"77",141000,1406000,52.8602547542465
"78",149000,1406000,56.6535960245407
"79",157000,1406000,98.8397448446775
"80",165000,1406000,248.82637486441
"81",173000,1406000,96.7724536564045
"82",189000,1406000,55.2179550675023
"83",21000,1398000,38.2160573582308
"84",29000,1398000,12.1999526472432
"85",37000,1398000,55.5977488580037
"86",45000,1398000,30.8933560139297
"87",53000,1398000,28.977252963912
"88",61000,1398000,27.1295791974246
