"x","y","cell","Alder","Ash","Basswood","Beech","Birch","Black gum","Buckeye","Cedar/juniper","Cherry","Dogwood","Elm","Fir","Hackberry","Hemlock","Hickory","Ironwood","Maple","No tree","Oak","Other hardwood","Pine","Poplar","Spruce","Sycamore","Tamarack","Tulip poplar","Unknown tree","Walnut","Willow"
-11000,1454000,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-3000,1454000,1489,0,1.84155315480983,0,0,0,0,0,0,0,0,0.935993593712464,0,0,0,0,0,0,0,0.0120663028379624,0,0,0,0,0,0,0,0,0,0
5000,1454000,1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00874284067742495,0,0,0.00874284067742495,0,0,0,0,0,0,0
13000,1454000,1491,0,0.00397002402795783,0,0,0,0,0,0,0,0,6.40352388652986,0,0,0,0,0,0,0,0.165130258244825,0,0,17.1175695238059,0,0,0,0,0,0,0
21000,1454000,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527475427782996,0,0,24.2401669984338,0,0,0,0,0,0,0
29000,1454000,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05726752848781,0,0,0,0,0,0,0
37000,1454000,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000,1454000,1495,0,0,0,0,0.0102056742994884,0,0,0,0,0,0.281741765036274,0,0,0,0,0,0,0,0,0,0,6.78414064609544,0,0,35.5465861936832,0,0,0,0
53000,1454000,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07912115319522,0,0,0,0
61000,1454000,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17092742793308,0,24.2341672170082,0,0,0,0
69000,1454000,1498,0,1.21044729633818,0,0,0,0,0,1.21044729633818,0,0,0,0.129123935242999,0,0,0,0,0,0,0,0,0,44.6192052329579,34.7179064856094,0,32.4049156588871,0,0,0,0
77000,1454000,1499,0,0,0,0,0.0370554660267987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370554660267987,28.5381176585827,16.6461447090468,0,59.0452415283281,0,0,0,0
85000,1454000,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170338481632352,9.42076355464263,0,101.266866001965,0,0,0,0
93000,1454000,1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53544115583051,19.0765263496774,0,158.082970293264,0,0,0,0
101000,1454000,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.5015123535024,20.3784110297908,0,42.1438864528784,0,0,0,0
-19000,1446000,1783,0,0.737418553175427,0,0,0,0,0,0,0,0,1.05451264978019,0,0,0,0,0,0,0,0.411623942327334,0,0,0,0,0,0,0,0,0,0
-11000,1446000,1784,0,0.131199021290929,0,0,0,0,0,0,0,0,0.131199021290929,0,0,0,0,0,0,0,5.61896923584406,0,0,0,0,0,0,0,0,0,0
-3000,1446000,1785,0,0,0,0,0,0,0,0,0,0,0.615567074408799,0,0,0,0,0,0,0,0.0365754377519826,0,0,0,0,0,0,0,0,0,0
5000,1446000,1786,0,0,0,0,0,0,0,0,0,0,0.0117818057110994,0,0,0,0,0,0,0,0.0397809495162458,0,0,1.98492062332082,0,0,0,0,0,0,0
13000,1446000,1787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6971981976562,0,0,0,0,0,0,0
21000,1446000,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79507586552198,0,0,0,0,0,0,0
29000,1446000,1789,0,0.0672413253168299,0,0,0,0,0,0,0,0,1.50227099276745,0,0,0,0,0,0,0,2.39146886520209,0,0,21.5457023826651,0,0,0,0,0,0,0
37000,1446000,1790,0,0,0,0,0,0,0,0,0,0,2.8407898716741,0,0,0,0,0,0,0,3.60155575581454,0,0,48.0803283009899,0,0,0,0,0,0,0
45000,1446000,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6222137730608,0,0,49.7600451727762,0,0,0,0,0,0,0
53000,1446000,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94242557626904,0,0,29.6075840585321,0,0,0,0,0,0,0
61000,1446000,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129537346656471,0,0,13.1388325646528,0,0,0.0661190811916589,0,0,0,0.0364076724030485
69000,1446000,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4159478165237,0,0,0,0,0,0,0
77000,1446000,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44390035498856,0,0,5.87938939077543,0,0,0,0
85000,1446000,1796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204062364237031,0,0,60.3673394668601,0,0,0,0.0204062364237031
93000,1446000,1797,0,0,0,0,0,0,0,0,0,0,0.000635145200598117,0,0,0,0,0,0,0,0,0,0,1.36375828201437,42.5139785079914,0,153.869515333065,0,0,0,0.832277368155279
101000,1446000,1798,0,0,0,0,4.70821718408671,0,0,20.3768434774988,0,0,0,12.0207446183131,0,0,0,0,0,0,0,0,0,42.1080122641616,37.3935140504349,0,58.2260545341637,0,0,0,0
109000,1446000,1799,0,0.049843743829841,0,0,0,0,0,3.66406034652972,0,0,0,0,0,0,0,0,0,0,0,0,0.489785273489746,12.8391127563786,9.86594377167613,0,64.5935474419075,0,0,0,0
117000,1446000,1800,0,0.00395580703895691,0,0,0,0,0,21.1345072668556,0,0,4.40695534481468,20.3967700602955,0,0,0,0,0,0,0,0,0,133.552363505726,37.0587799465435,0,59.7372340233433,0,0,0,12.1396382393475
-19000,1438000,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-11000,1438000,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103261841139122,0,0,0,0,0,0,0,0,0,0
-3000,1438000,2081,0,0,0,0,0,0,0,0,0,0,0.00135623159171898,0,0,0,0,0,0,0,0.20952589006386,0,0,0,0,0,0,0,0,0,0
5000,1438000,2082,0,0,2.25994402731848,0,0,0,0,0,0,0,2.25994402731848,0,0,0,0,0,0,0,0.272000424342515,0,0,31.4787315731331,0,0,0,0,0,0,0
13000,1438000,2083,0,0,0,0,0,0,0,0,0,0,0.416931209465758,0,0,0,0,0,0,0,0.157198918083739,0,0,3.66352917130934,0,0,0,0,0,0,0
21000,1438000,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54353125294052,0,0,0,0,0,0,0
29000,1438000,2085,0,0.140530584872787,0,0,0,0,0,0,0,0,0.592823593969516,0,0,0,0,0,0,0,1.58430826971645,0,0,11.1482529344482,0,0,0,0,0,0,0
37000,1438000,2086,0,0,0,0,0,0,0,0,0,0,0.569393771481453,0,0,0,0,0,0,0,2.62865605607579,0,0,7.46330929202262,0,0,0,0,0,0,0
45000,1438000,2087,0,0,0,0,0,0,0,0,0,0,0.303902793898095,0,0,0,0,0,0,0,4.64779096667172,0,0,8.54350732953401,0,0,0,0,0,0,0
53000,1438000,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31244528745468,0,0,13.7043243848444,0,0,0,0,0,0,0
61000,1438000,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08972293878556,0,0,0,0,0,0,0
69000,1438000,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3729187458027,0,0,0,0,0,0,0
77000,1438000,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917636799955777,0,0,7.12025502149613,0,0,0.760298204169864,0,0,0,0
85000,1438000,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2102420690988,0,0,0,0,0,0,0
93000,1438000,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53231893217587,0,0,9.10876231924159,0,0,0,0
101000,1438000,2094,0,1.65831695670887,0,0,0.159275090965934,0,0,2.78033854552582,0,0,0.91402806670321,6.79053572055228,0,0,0,0,0,0,0.0584289809848892,0,2.82074326694978,29.8984547815487,11.7186869378887,0,76.4653618774589,0,0,0,0
109000,1438000,2095,0,0.777106933348402,0,0,3.81249804456257,0,0,5.71070052450926,0,0,2.45642452640868,8.8442082213317,0,0,0,0,0,0,0.306763052040883,0,1.39863711051274,3.97679526205627,17.5673432393315,0,51.8402639672953,0,0,0,0
117000,1438000,2096,0,23.991869741628,0,0,3.85806296215938,0,0,3.63660293602458,0,0,15.3681826698945,2.52786402501336,0,0,0,0,0,0,0,0,3.0344047188697,47.7076796139872,5.06771814965153,0,45.2563152202686,0,0,0,5.34639979924365
125000,1438000,2097,0,1.11835691722845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.8564207636858,0,0,0,0,0,0,0
