"","x","y","Transpiration"
"1",141000,1486000,337.4962475298
"2",149000,1486000,153.516069384265
"3",141000,1478000,49.8768053042462
"4",149000,1478000,70.1907564606595
"5",5000,1470000,340.290149074785
"6",141000,1470000,396.337180642797
"7",149000,1470000,149.241297168589
"8",5000,1462000,48.8706500831965
"9",13000,1462000,45.0934924921439
"10",37000,1462000,96.6890148300586
"11",45000,1462000,293.040139852181
"12",141000,1462000,30.1434709539573
"13",13000,1454000,198.786098917461
"14",21000,1454000,361.069175156989
"15",29000,1454000,232.748835733227
"16",37000,1454000,120.906947031604
"17",53000,1454000,624.054643720272
"18",77000,1454000,68.9438558177584
"19",85000,1454000,11.8361116706361
"20",29000,1446000,249.270427110159
"21",85000,1446000,55.311545019958
"22",93000,1446000,62.9973203613339
"23",101000,1446000,79.4069285402327
"24",109000,1446000,251.043632881254
"25",13000,1438000,29.5411358464542
"26",21000,1438000,176.682775530096
"27",29000,1438000,31.0550244317313
"28",45000,1438000,73.2027845949621
"29",77000,1438000,229.541163623504
"30",117000,1438000,265.633875353632
"31",133000,1438000,122.442490351373
"32",149000,1438000,478.128837910855
"33",13000,1430000,229.197705632033
"34",21000,1430000,0.854768440644756
"35",29000,1430000,193.05344465639
"36",45000,1430000,30.3915617689062
"37",61000,1430000,173.756316538306
"38",77000,1430000,129.331967071181
"39",85000,1430000,226.720424423231
"40",117000,1430000,133.717869559889
"41",125000,1430000,128.231830120924
"42",141000,1430000,321.034529557668
"43",45000,1422000,121.512696369687
"44",69000,1422000,28.7325075038804
"45",109000,1422000,112.748817339329
"46",117000,1422000,142.511823096467
"47",125000,1422000,208.359946009175
"48",133000,1422000,291.150321965972
"49",149000,1422000,67.1323734083632
"50",157000,1422000,27.1743976730612
"51",165000,1422000,76.5334363884346
"52",13000,1414000,8.52173553596358
"53",29000,1414000,116.804633409644
"54",37000,1414000,98.4320437554718
"55",45000,1414000,146.35963906273
"56",93000,1414000,163.478885576205
"57",101000,1414000,436.548970504998
"58",109000,1414000,21.2520121197016
"59",117000,1414000,249.398868871644
"60",125000,1414000,346.556035149672
"61",133000,1414000,63.1787781082984
"62",141000,1414000,189.052948912611
"63",149000,1414000,372.4482789793
"64",157000,1414000,186.527538382945
"65",37000,1406000,359.817265478508
"66",45000,1406000,189.198610633662
"67",53000,1406000,59.4695237098952
"68",69000,1406000,223.364567097046
"69",77000,1406000,377.547562563106
"70",85000,1406000,98.3215866751779
"71",93000,1406000,299.2060832546
"72",101000,1406000,294.671536097112
"73",109000,1406000,266.107448945681
"74",117000,1406000,363.170674638819
"75",125000,1406000,51.1137607520187
"76",133000,1406000,53.188174015512
"77",141000,1406000,67.928625360287
"78",149000,1406000,27.1743976730612
"79",157000,1406000,297.583124641304
"80",165000,1406000,94.5250414096626
"81",173000,1406000,171.381260519568
"82",189000,1406000,276.981003380698
"83",21000,1398000,163.080710890713
"84",29000,1398000,13.8298329696446
"85",37000,1398000,187.231572758809
"86",45000,1398000,275.316134706414
"87",53000,1398000,301.426254472625
"88",61000,1398000,278.589789561555
"89",85000,1398000,78.8736443583153
"90",93000,1398000,280.13150360194
"91",101000,1398000,7.16043187369962
"92",109000,1398000,133.845605295328
"93",117000,1398000,157.935180251517
"94",125000,1398000,104.116814180443
"95",133000,1398000,177.016095347231
"96",141000,1398000,232.212100021152
"97",149000,1398000,11.2023960914758
"98",157000,1398000,225.285836364206
"99",165000,1398000,182.982677871573
"100",173000,1398000,232.739881551949
"101",181000,1398000,13.0002866885813
"102",189000,1398000,256.803277585924
"103",197000,1398000,35.6628070434969
"104",205000,1398000,35.4987033020851
"105",213000,1398000,729.604123672821
"106",37000,1390000,94.5771900301342
"107",45000,1390000,412.276424038594
"108",53000,1390000,83.5749301489039
"109",69000,1390000,213.024895794044
"110",77000,1390000,27.1743976730612
"111",85000,1390000,62.778502227571
"112",93000,1390000,135.693213348529
"113",101000,1390000,259.665483837995
"114",109000,1390000,204.407861065339
"115",117000,1390000,75.5984709520186
"116",125000,1390000,266.036585311781
"117",133000,1390000,331.640713052238
"118",141000,1390000,14.4097651835653
"119",149000,1390000,236.474299331933
"120",157000,1390000,636.694968235782
"121",165000,1390000,1115.3678999941
"122",189000,1390000,14.7686293078095
"123",197000,1390000,167.038409000959
"124",205000,1390000,312.294925587735
"125",213000,1390000,16.4392062336573
"126",13000,1382000,178.061197002446
"127",29000,1382000,312.945083181535
"128",69000,1382000,35.8849827567983
"129",77000,1382000,26.41662727422
"130",93000,1382000,126.317750952473
"131",101000,1382000,296.664624745662
"132",109000,1382000,349.871952713022
"133",117000,1382000,208.459686424289
"134",133000,1382000,67.8632958573254
"135",141000,1382000,34.692119908019
"136",149000,1382000,341.329964719423
"137",157000,1382000,189.166462726384
