x,y,cell,Alder,Ash,Basswood,Beech,Birch,Black gum,Buckeye,Cedar/juniper,Cherry,Dogwood,Elm,Fir,Hackberry,Hemlock,Hickory,Ironwood,Maple,No tree,Oak,Other hardwood,Pine,Poplar,Spruce,Sycamore,Tamarack,Tulip poplar,Unknown tree,Walnut,Willow,NA
-11000,1446000,1784,0,0,0,0,0,0,0,0,0,0,55.88,0,0,0,0,0,0,0,66.04,0,0,0,0,0,0,0,0,0,0,0
-3000,1446000,1785,0,0,0,0,0,0,0,0,0,0,81.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5000,1446000,1786,0,0,0,0,0,0,0,0,0,0,35.56,0,0,0,0,0,0,0,0,0,0,81.28,0,0,0,0,0,0,0,0
21000,1446000,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.6,0,0,0,0,0,0,0,0
29000,1446000,1789,0,0,0,0,0,0,0,0,0,0,96.52,0,0,0,0,0,0,0,226.06,0,0,375.92,0,0,0,0,0,0,0,0
37000,1446000,1790,0,0,0,0,0,0,0,0,0,0,152.4,0,0,0,0,0,0,0,274.32,0,0,571.5,0,0,0,0,0,0,0,0
45000,1446000,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.12,0,0,350.52,0,0,0,0,0,0,0,0
53000,1446000,1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.64,0,0,441.96,0,0,0,0,0,0,0,0
61000,1446000,1793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.04,0,0,78.74,0,0,25.4,0,0,0,0,0
69000,1446000,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.96,0,0,0,0,0,0,0,0
77000,1446000,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.32,0,0,0,0,0,0,0,0
93000,1446000,1797,0,0,0,0,0,0,0,0,0,0,76.2,0,0,0,0,0,0,0,0,0,0,0,0,0,58.42,0,0,0,0,0
101000,1446000,1798,0,0,0,0,30.48,0,0,88.9,0,0,0,152.4,0,0,0,0,0,0,0,0,0,193.04,297.18,0,276.86,0,0,0,0,0
109000,1446000,1799,0,0,0,0,0,0,0,30.48,0,0,0,0,0,0,0,0,0,0,0,0,101.6,88.9,116.84,0,218.44,0,0,0,0,0
117000,1446000,1800,0,0,0,0,0,0,0,55.88,0,0,88.9,0,0,0,0,0,0,0,0,0,0,393.7,91.44,0,172.72,0,0,0,0,0
-11000,1438000,2080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.96,0,0,0,0,0,0,0,0,0,0,0
-3000,1438000,2081,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,101.6,0,0,0,0,0,0,0,0,0,0,0
5000,1438000,2082,0,0,35.56,0,0,0,0,0,0,0,30.48,0,0,0,0,0,0,0,50.8,0,0,172.72,0,0,0,0,0,0,0,0
13000,1438000,2083,0,0,0,0,0,0,0,0,0,0,35.56,0,0,0,0,0,0,0,0,0,0,162.56,0,0,0,0,0,0,0,0
21000,1438000,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.02,0,0,0,0,0,0,0,0
29000,1438000,2085,0,0,0,0,0,0,0,0,0,0,66.04,0,0,0,0,0,0,0,353.06,0,0,601.98,0,0,0,0,0,0,0,0
37000,1438000,2086,0,0,0,0,0,0,0,0,0,0,81.28,0,0,0,0,0,0,0,246.38,0,0,563.88,0,0,0,0,0,0,0,0
45000,1438000,2087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.12,0,0,551.18,0,0,0,0,0,0,0,0
53000,1438000,2088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.68,0,0,637.54,0,0,0,0,0,0,0,0
61000,1438000,2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0
69000,1438000,2090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.96,0,0,0,0,0,0,0,0
77000,1438000,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.96,0,0,106.68,0,0,20.32,0,0,0,0,0
93000,1438000,2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0
101000,1438000,2094,0,0,0,0,30.48,0,0,20.32,0,0,48.26,165.1,0,0,0,0,0,0,55.88,0,208.28,383.54,53.34,0,487.68,0,0,0,0,0
109000,1438000,2095,0,0,0,0,0,0,0,71.12,0,0,22.86,0,0,0,0,0,0,0,30.48,0,68.58,73.66,157.48,0,281.94,0,0,0,0,0
117000,1438000,2096,0,63.5,0,0,71.12,0,0,55.88,0,0,45.72,0,0,0,0,0,0,0,0,0,99.06,347.98,71.12,0,365.76,0,0,0,0,0
125000,1438000,2097,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.72,0,0,0,0,0,0,0,0
133000,1438000,2098,0,40.64,0,0,0,0,0,35.56,0,0,0,0,0,0,0,0,0,0,25.4,0,0,30.48,0,0,0,0,0,0,0,0
141000,1438000,2099,0,0,0,0,0,0,0,121.92,0,0,0,0,0,0,0,0,0,0,0,0,0,312.42,50.8,0,111.76,0,0,0,0,0
149000,1438000,2100,0,0,0,0,45.72,0,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,55.88,68.58,0,30.48,0,0,0,0,0
-19000,1430000,2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0
13000,1430000,2379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.96,0,0,0,0,0,0,0,0
21000,1430000,2380,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,20.32,0,0,71.12,0,0,0,0,0,0,0,0
29000,1430000,2381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.48,0,0,93.98,0,0,0,0,0,0,0,0
37000,1430000,2382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.08,0,0,154.94,0,0,0,0,0,0,0,0
45000,1430000,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.44,0,0,73.66,0,0,0,0,0,0,0,0
53000,1430000,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8,0,0,185.42,0,0,0,0,0,0,0,0
61000,1430000,2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0
69000,1430000,2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.12,0,0,0,0,0,0,0,0
77000,1430000,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266.7,20.32,0,40.64,0,0,0,0,0
85000,1430000,2388,0,20.32,0,0,0,0,0,0,0,0,101.6,0,0,0,0,0,22.86,0,0,0,0,121.92,22.86,0,40.64,0,0,0,0,0
93000,1430000,2389,0,0,0,0,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,154.94,154.94,0,78.74,0,0,0,0,0
101000,1430000,2390,0,45.72,0,0,71.12,0,0,40.64,0,0,195.58,220.98,0,0,0,0,0,0,40.64,0,0,289.56,525.78,0,734.06,0,0,0,0,0
109000,1430000,2391,0,96.52,0,0,0,0,0,86.36,0,0,71.12,0,0,0,0,0,0,0,0,0,0,111.76,101.6,0,279.4,0,0,0,0,0
117000,1430000,2392,0,20.32,0,0,0,0,0,0,0,0,60.96,0,0,0,0,0,0,0,0,0,0,81.28,53.34,0,414.02,0,0,0,0,0
125000,1430000,2393,0,0,0,0,177.8,0,0,25.4,0,0,35.56,45.72,0,0,0,0,0,0,0,0,50.8,452.12,320.04,0,586.74,0,0,0,0,0
133000,1430000,2394,0,20.32,0,0,226.06,0,0,360.68,0,0,91.44,30.48,0,0,0,0,0,0,40.64,0,121.92,579.12,233.68,0,375.92,0,0,0,0,0
141000,1430000,2395,0,50.8,0,0,127,0,0,302.26,0,0,0,40.64,0,0,0,0,0,0,0,0,0,132.08,218.44,0,1120.14,0,0,0,0,0
149000,1430000,2396,0,20.32,0,0,20.32,0,0,274.32,0,0,35.56,0,0,0,0,0,0,0,0,0,40.64,60.96,203.2,0,345.44,0,0,0,0,0
157000,1430000,2397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.2,0,0,25.4,0,0,0,0,0
-19000,1422000,2671,0,0,25.4,0,0,0,0,0,0,0,68.58,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,0,0
13000,1422000,2675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,0,121.92,0,0,0,0,0,0,0,0
21000,1422000,2676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.72,0,0,0,0,0,0,0,0
29000,1422000,2677,0,0,0,0,0,0,0,0,0,0,40.64,0,0,0,0,0,0,0,66.04,0,0,228.6,0,0,0,0,0,0,0,0
37000,1422000,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.52,0,0,391.16,0,0,0,0,0,0,0,0
45000,1422000,2679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.6,0,0,627.38,0,0,0,0,0,0,0,0
53000,1422000,2680,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,264.16,0,0,388.62,0,0,0,0,0,0,0,0
61000,1422000,2681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0
69000,1422000,2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0,0,0,0
77000,1422000,2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.92,0,0,20.32,0,0,0,0,0
85000,1422000,2684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.26,50.8,0,63.5,0,0,0,0,0
93000,1422000,2685,0,0,25.4,0,0,0,0,0,0,0,71.12,86.36,0,0,0,0,0,0,55.88,0,0,375.92,294.64,0,266.7,0,0,0,0,0
101000,1422000,2686,0,0,0,0,0,0,0,129.54,0,0,55.88,0,0,0,0,0,0,0,0,0,0,25.4,111.76,0,154.94,0,0,0,0,0
109000,1422000,2687,0,0,0,0,0,0,0,195.58,0,0,0,0,0,0,0,0,0,0,0,0,177.8,45.72,22.86,0,302.26,0,0,0,0,0
117000,1422000,2688,0,25.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,45.72,71.12,0,106.68,0,0,0,0,0
125000,1422000,2689,0,0,0,0,35.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.52,172.72,314.96,0,233.68,0,0,0,0,0
133000,1422000,2690,0,71.12,0,0,162.56,0,0,121.92,0,0,25.4,0,0,0,0,0,0,0,0,0,228.6,261.62,162.56,0,149.86,0,0,0,0,0
141000,1422000,2691,0,0,0,0,20.32,0,0,627.38,0,0,0,48.26,0,0,0,0,0,0,0,0,40.64,121.92,45.72,0,403.86,0,0,0,0,0
149000,1422000,2692,0,0,0,0,0,0,0,317.5,0,0,0,20.32,0,0,0,0,0,0,0,0,0,182.88,86.36,0,381,0,0,0,0,0
157000,1422000,2693,0,40.64,0,0,45.72,0,0,220.98,0,0,0,0,0,0,0,0,0,0,0,0,0,193.04,0,0,426.72,0,0,0,20.32,0
165000,1422000,2694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.4,0,0,0,0,0,0,0,0,0
-19000,1414000,2967,0,20.32,0,0,0,0,0,0,0,0,50.8,0,0,0,0,0,0,0,182.88,0,0,20.32,0,0,0,0,0,0,0,0
29000,1414000,2973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.1,0,0,0,0,0,0,0,0
37000,1414000,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.6,0,0,0,0,0,0,0,0
45000,1414000,2975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568.96,0,0,0,0,0,0,0,0
53000,1414000,2976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,0,0,0,0
61000,1414000,2977,0,20.32,0,0,0,0,0,0,0,0,0,40.64,0,0,0,0,0,0,22.86,0,0,40.64,50.8,0,104.14,0,0,0,0,0
69000,1414000,2978,0,0,0,0,0,0,0,0,0,0,0,22.86,0,0,0,0,0,0,22.86,0,0,274.32,66.04,0,220.98,0,0,0,0,0
77000,1414000,2979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,0,0,121.92,0,0,86.36,0,0,0,0,0
85000,1414000,2980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.32,0,0,248.92,0,0,137.16,0,0,0,0,0
93000,1414000,2981,0,48.26,0,0,25.4,0,0,60.96,0,0,101.6,111.76,0,0,0,0,0,0,0,0,20.32,210.82,86.36,0,391.16,0,0,0,0,0
101000,1414000,2982,0,0,0,0,0,0,0,81.28,0,0,0,0,0,0,0,0,0,0,0,0,431.8,0,20.32,0,137.16,0,0,0,0,0
109000,1414000,2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.12,0,0,0,66.04,0,0,0,0,0
